,Hattrem,Iron Leaves,Gengar,Iron Valiant,Volcarona,Toxicroak,Barraskewda,Mimikyu,Gholdengo,Cacturne,Bronzong,Chansey,Oricorio,Garchomp,Pincurchin,Scream Tail,Quaquaval,Toedscruel,Ditto,Grafaiai,Eelektross,Toxapex,Tauros-Paldea-Aqua,Bisharp,Toxtricity,Indeedee,Lucario,Bellibolt,Florges,Eiscue,Frosmoth,Altaria,Veluza,Slowbro,Oricorio-Sensu,Glimmora,Arcanine,Revavroom,Kingambit,Magnezone,Staraptor,Meowscarada,Cloyster,Klefki,Ting-Lu,Scovillain,Farigiraf,Salamence,Wo-Chien,Haxorus,Dachsbun,Glaceon,Inteleon,Clodsire,Cinderace,Goodra,Noivern,Hippowdon,Blissey,Mismagius,Brambleghast,Primeape,Greninja,Sylveon,Klawf,Hariyama,Decidueye,Iron Jugulis,Kilowattrel,Amoonguss,Jolteon,Armarouge,Golduck,Rotom-Wash,Pelipper,Avalugg,Talonflame,Dudunsparce,Umbreon,Zoroark-Hisui,Rabsca,Dragalge,Heracross,Ceruledge,Palossand,Iron Thorns,Quagsire,Masquerain,Dragonite,Gyarados,Rotom-Fan,Vaporeon,Orthworm,Froslass,Ursaring,Dragapult,Gardevoir,Lycanroc,Breloom,Slowking,Drifblim,Alomomola,Rotom-Mow,Hawlucha,Mudsdale,Torkoal,Venomoth,Polteageist,Grimmsnarl,Ampharos,Tauros-Paldea-Blaze,Iron Treads,Medicham,Brute Bonnet,Samurott,Arboliva,Corviknight,Cetitan,Sableye,Pyroar,Typhlosion,Iron Hands,Scizor,Bombirdier,Donphan,Floatzel,Electrode,Tsareena,Cyclizar,Gastrodon,Grumpig,Weavile,Baxcalibur,Dondozo,Garganacl,Tyranitar,Sandy Shocks,Bruxish,Tinkaton,Indeedee-F,Charizard,Skeledirge,Pikachu,Zoroark,Salazzle,Abomasnow,Roaring Moon,Tatsugiri,Oricorio-Pom-Pom,Cryogonal,Beartic,Crabominable,Hatterene,Rotom-Heat,Great Tusk,Lycanroc-Dusk,Slither Wing,Sandaconda,Espeon,Houndoom,Pawmot,Lokix,Azumarill,Spidops,Maushold,Walking Wake,Hydreigon,Forretress,Gallade,Iron Moth,Flamigo,Drednaw,Krookodile
Hippopotas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,5e-10,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0
Gabite,9.87928e-05,0.0,1.485e-07,0.0078901208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.681e-06,0.0,2.2e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-09,2.681e-06,2.2e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703e-07,0.0,0.0,0.0,0.0,0.0,2.2e-09,0.0,1.02236e-05,0.0,0.0005543404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02236e-05,1.485e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078901208,0.0,0.0,0.0,2.18e-08,0.0,0.0,0.0,0.0,0.0,2.18e-08,0.0,1e-09,2.2e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485e-07,0.0,2.282e-07,0.0073357804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078901208,0.0,0.0,0.0078901208,0.0,2.18e-08,2.18e-08,0.0,0.0,0.0,0.0
Oranguru,0.0007427885,0.0,0.0,0.0003407443,1.581e-06,7e-10,0.0,9.93914e-05,3.2577e-06,0.0,1.3895e-06,0.0,0.0,0.0,0.0,0.0,4.6205e-06,0.0,1e-10,0.0,0.0,1.7505e-06,0.0,0.0,1.23e-08,9.52e-08,0.0,0.0,0.0,3.42e-08,0.0,0.0,0.0,5.7745e-06,0.0,0.0,9.20427e-05,0.0,8.1811e-06,0.0,0.0,2.445e-06,0.0,0.0,0.0002082814,1e-10,0.0,0.0,0.0,5e-08,0.0,0.0,0.0,1.695e-07,5.07e-08,0.0,0.0,7e-10,0.0003391629,0.0,0.0,1.411e-07,0.0,8.1e-09,1.412e-07,6.669e-07,0.0,0.0,0.0,1.25744e-05,0.0,9.6081e-06,0.0,3.42e-08,5.7745e-06,0.0003391629,0.0,9.52e-08,0.0,0.0,0.0007427681,1.84809e-05,0.0,0.0002108863,5e-08,0.0,0.0,9.52e-08,0.0,1.411e-07,0.0,0.0,1.1e-09,1.581e-06,0.0,4.0259e-06,0.0,3.05e-08,4e-10,0.0,0.0,0.0003391629,0.0,0.0,0.0,3.2919e-06,1.1e-09,4.5611e-06,4e-10,0.0007235987,0.0,0.0,0.0,0.0,4.94851e-05,1.695e-07,0.0,9.20427e-05,1.84809e-05,0.0,0.0003391629,7.3691e-06,1.5e-09,0.0,0.0,0.0,0.0,5e-08,0.0,1.702e-07,0.0,0.0,9.20634e-05,3.462e-07,0.0002107471,0.0,0.0,0.0,3.42e-08,8.6804e-06,0.0,9.59e-08,0.0,0.0,0.0,9.39988e-05,1.459e-07,0.0,5e-08,0.0,0.0,0.0007427681,7.5387e-06,0.0,1.459e-07,0.0,1e-10,0.0,0.0002082814,4.561e-06,0.0,0.0,8.0424e-06,0.0,0.0002578752,0.0,0.0,0.0,5.95e-08,0.0,0.0,0.0,1.1e-09
Revavroom,2e-10,0.0461279043,0.0085574774,0.4145964688,0.3299387005,1.28e-08,8.1922e-06,0.0166077096,0.0547908668,5.202e-07,3.26e-08,0.0,0.0,0.0222736674,8.00029e-05,0.163245084,0.1444042621,0.0282831772,5.12172e-05,0.0081588436,0.0013804982,0.0071987985,0.0107121396,6.39276e-05,5.4022e-06,0.0,0.0001141663,0.0097768052,0.0039636197,5.604e-07,0.0116010531,0.0003858691,5.2219e-06,0.0003589873,0.0004083712,0.0248222311,0.0109405712,0.0,0.46751084,0.3340662269,0.002090594,0.0356345873,0.0009230744,0.0001064735,0.3601429069,4.4317e-06,0.0001399288,2.27904e-05,0.0134192473,0.0333385452,7.31723e-05,0.0042096111,0.0,0.0273102464,0.4837399285,8.318e-07,0.0035141946,6.61196e-05,3.4552e-06,2.80869e-05,0.0001728963,0.0058820511,0.0326507459,0.0019760915,0.0038680733,4e-10,4.24498e-05,0.0138403939,0.04332182,0.1729196636,0.0,0.0111022537,0.0,0.6628742209,4.8852e-06,1.53e-08,0.0131910759,6.058e-07,0.0001333857,0.3766288544,0.00931937,0.0040461784,0.0003918952,0.0233388068,0.0004840628,0.0022823325,0.0119522036,0.0004979302,0.4843763462,0.0171379505,0.0,0.0247640866,0.0129666295,1.98809e-05,4.741e-06,0.0160166292,0.0009429358,2e-10,0.0116683597,0.0192376195,4.23108e-05,4.43e-07,0.0,0.0001726299,0.0412536155,0.0137404425,1e-09,0.0120435299,0.0171914965,0.0019763673,0.0333395881,0.0005037177,8.26696e-05,6.07908e-05,0.0001122383,0.0075260705,0.0363344812,0.0052838905,8e-10,0.0,0.002387117,0.0352622136,0.0321726966,1.9242e-06,1.6524e-06,0.0004139922,1.90454e-05,0.0058646205,0.0002345207,0.0042845848,0.0,0.0002962709,0.3489873452,0.0121401418,0.0420600357,0.0143087001,0.0432303845,6e-10,0.0001368209,1.705e-07,7.005e-07,0.1709224301,0.0,9e-10,9.72026e-05,0.0115596258,0.2461074225,0.0028286148,1.4e-09,0.0,0.0,0.0,0.2253957912,0.0127465996,1.0028270895,6.3e-09,0.0010115842,3.5112e-06,0.0513724562,5.37e-08,0.0219727164,0.0092504348,0.1383436571,0.0001659414,0.0171750682,0.0611402729,0.2532411221,6.13361e-05,0.0005136467,0.0212276306,1.9171e-05,0.000809508,0.0003856039
Leafeon,0.0,3.38185e-05,7.8982e-05,2.38823e-05,0.0158187401,5.647e-07,2.53135e-05,2.3006e-06,0.0007813942,4.51e-08,1.01785e-05,0.0,0.0005488891,0.0025002662,1e-10,5.57989e-05,3.11038e-05,0.0006018765,0.007228724,3.91312e-05,1.4967e-05,0.0001396847,2.314e-07,0.013054364,2.086e-06,3.6e-09,2.01387e-05,0.0,0.0006809994,0.0,2.90631e-05,2.7097e-05,0.0,5.841e-06,3.84966e-05,0.0010653164,2.9135e-06,2.73144e-05,0.0001238187,9.97374e-05,9.05848e-05,0.0068198884,2e-10,0.0,2.27527e-05,0.0015180707,1.0356e-06,0.0130553871,0.0005307428,5.2765e-06,7.47736e-05,0.060930318,0.0,0.0034850363,0.0002249297,1.49723e-05,0.0010478749,5.2763e-06,3.083e-05,2.7083e-05,6.52939e-05,0.0004019995,0.0022521821,0.0155372984,3.3e-09,2.532e-07,4.84e-08,0.0,1.23479e-05,0.0005950718,0.1142216538,0.0037621773,0.0,0.0017101622,2.53146e-05,1e-10,5.6e-09,0.0,0.114640203,0.0006599385,3e-10,0.0,7.67064e-05,0.0001410914,0.0,0.0,0.0001618235,2.6833e-06,0.0026991845,0.0,0.0,0.1389781387,0.005743707,1.4e-08,0.0,7.0608e-06,0.0017772101,1e-10,0.000165384,4.64629e-05,5.647e-07,0.0,6.52939e-05,3.84966e-05,1.803e-07,0.0289574407,0.0,7.47736e-05,3.05618e-05,7.1e-09,7.772e-07,0.0014412512,0.0,1e-10,8.04e-08,0.0010844704,0.0022088832,0.0,5.665e-07,0.0,0.0043889437,0.000683136,0.0005798588,0.0,0.0,0.0003889881,0.0,4.8e-08,0.0,0.0001148702,0.0,0.0,1.0256e-06,4.46234e-05,0.0028929426,0.0272253384,0.0051811963,0.0,3.349e-07,0.0,0.0020534267,0.0276915345,9.36e-08,1.0356e-06,0.0001990215,1.2e-09,0.0153734176,0.0,0.0,1.717e-07,0.0017771925,0.0,0.0050241721,0.0030101212,0.0402602713,0.0130573088,3.85649e-05,9.827e-07,0.1142265355,0.0001212283,3.5059e-05,1.16778e-05,2.61263e-05,1.58062e-05,0.0001627976,0.0189401578,2.1798e-05,0.0271959682,0.0136621362,0.0001100877,0.0,0.0,1.81e-08
Kingambit,0.2018852084,4.7712791207,6.4005866241,835.0917943934,327.7089640321,0.0558976573,19.3528782494,3.5090385868,501.6471557975,1.0735068217,0.1370790355,0.0299985828,1.0113191836,186.2435801604,1.4497482479,44.0345263557,36.2849693558,22.3553772957,1.5699813389,5.9605538339,0.0131936502,125.2401687407,0.3190852318,1.7587016864,16.8878617749,0.92149438,2.8011949757,0.2967955903,1.6034568571,0.0010932757,0.0091057879,0.104751899,0.1422616803,19.2416328774,1.2562716536,436.9278812996,0.1810361466,0.46751084,0.0,7.0000294062,18.0646499442,191.8254495499,30.6839730972,0.2208392785,222.44436155,0.6800884991,0.0838785535,8.8641547978,1.0687358149,7.7320554718,0.0032793073,2.3228270298,2.2315112097,50.6386751404,144.8366933987,0.1287858331,0.0914728011,0.1727199743,2.8567973321,3.7630911187,1.6434108057,0.1687110945,100.9828140524,27.7697766489,1.0346532722,1.1400367879,0.4720022038,81.8301324482,1.1521496414,162.8758198794,0.1271928951,39.3079802327,0.584979606,209.958634383,69.73819045,5.6837993947,2.2701817267,0.3066743305,0.1133132818,116.4699596626,3.3550887582,0.1248739698,0.6529536946,150.148597266,0.0071600034,0.422957626,0.085650773,27.3795910283,636.8840880785,3.9708896985,0.0001654009,0.0003398516,356.7716892445,3.9604578874,0.0343352441,609.0748147177,6.4144120889,0.1576956826,129.5447087009,125.6984319779,0.0481353007,9.6114809143,0.3135908403,1.8671499565,0.3706355741,20.4161329401,0.0238840016,3.4462160903,14.2099304719,0.0828335863,0.0627570078,44.3576338601,0.0537756884,1.00699393,2.5030863082,2.9557438005,127.7797851207,0.5020139475,0.6975164439,0.8418755097,1.8147943222,24.2993547891,14.0805546075,0.0417256611,0.4505631368,28.4098795848,0.1209975745,0.0460963205,8.0562097984,3.4665074756,0.0,37.137093021,372.040730639,48.2113355212,124.709185273,4.7925948837,28.6324599874,0.4673227756,1.3929652512,0.0218879721,0.1942552127,105.7395329633,0.3372125752,0.6267018267,0.029005853,5.0117812368,398.55995405,0.0637781085,2.858024167,0.2063394055,0.1282125303,0.3719082342,161.2493225398,0.1661627846,1229.9150504293,1.9615263621,2.4498591899,11.1241297535,1.2016232249,0.0086164503,116.1708192277,7.2321175681,118.0916766446,0.2478769044,41.418287463,78.1526287523,128.9065044086,1.1448104784,20.9031811905,604.4003481386,0.3475755689,0.2284416659,0.0906590375
Carkol,0.0,0.0,0.0,1.0821e-06,0.0,0.0,0.0,7.4233e-06,0.0,6.94e-08,0.0,0.0,0.0,0.0,0.0,1.0821e-06,0.0,0.0,0.0,0.0,1.5889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003659585,0.0,7e-10,0.0,0.0009093855,0.0,0.0,0.0,0.0,0.0009093854,0.0,0.0,0.0,0.0,0.0,0.0,0.0009093854,0.0,0.0,0.0,4.4022e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009093854,0.0,0.0,0.0,0.0,0.0009093854,6.1165e-06,2.97706e-05,0.0,0.0,0.0008620935,0.0,0.0,0.0,0.0,0.0,0.0003659585,2.97706e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3067e-06,7.4233e-06,1.0821e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821e-06,0.0,2.97706e-05,0.0,0.0,0.0008664246,0.0,0.0,0.0,0.0,0.0,0.0,7e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003659585,0.0,0.0,0.0,7e-10,0.0,0.0,0.0003659585,0.0,0.0,7.4233e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-10,0.0,0.0,0.0008664957,0.0,0.0,0.0003435512,2.97706e-05,0.0,0.0,1.0821e-06,0.0008664957,0.0,0.0,2.97706e-05,0.0,0.0,0.0
Basculin,0.0,0.0004125912,0.1064361109,0.0858382126,0.0075330266,2.55e-08,0.0005892065,1.1636e-06,0.0260213965,0.0,1.0703e-06,0.0,1.1636e-06,1.89887e-05,0.0004125912,0.0,2.857e-07,2.11086e-05,0.0007962078,0.0,0.0007962078,0.0,1.92372e-05,0.0005892065,0.0,2.94e-08,0.0001238649,2.8672e-06,1.05005e-05,1.123e-07,0.0,0.0,0.0850275579,0.0,0.0,0.002376283,1.99636e-05,0.0,0.0888923663,2.00824e-05,0.0001467502,0.0009659536,2e-10,0.0,0.0,2.8668e-06,0.0,0.0,0.0007962078,2.855e-07,0.0,0.0,0.0,0.0057111324,1.34375e-05,0.0005892086,0.0,0.0,3e-10,0.0,0.0016358826,1.123e-07,1e-10,6.83461e-05,1.134e-06,0.0,0.0,0.0075151336,0.0038285195,0.0171940446,0.0001534789,0.0,0.0,4.6147e-06,0.0208817423,0.0215219876,4.0611e-06,0.0,1.6297e-06,0.0005938407,1.47e-08,3.26e-08,0.0,0.0002669744,0.0,0.0001365789,0.0,0.0002382183,3.18381e-05,0.0,0.0,3e-10,0.0,0.0,0.0,0.0060924385,0.0002668786,1.8056e-05,0.0238541555,0.0,0.0,0.0,0.0,5.3068e-06,0.0,0.0025133828,0.0,7.16703e-05,3.19771e-05,0.0,0.0,0.099155756,0.0,0.0,3.08e-08,0.0,0.0005709381,2.8668e-06,0.0,0.0,0.001062886,0.0,8.05137e-05,3.9862e-06,7e-10,0.0161524944,1.47e-08,0.0,0.0016120045,0.0004597989,0.0,0.0,0.0022698448,0.0215219872,0.0011195575,0.0,0.0,0.0,0.0002668786,0.0,0.0001000867,2.476e-07,2.282e-07,7.05e-08,0.0003040389,0.0,0.0077999807,0.0,0.0,0.0,6.2402e-06,3.66e-08,1e-09,2.863e-07,0.0025608321,6.6119e-06,0.0,0.0,0.0038240094,0.0,0.0,0.0,1.062e-06,6.81096e-05,0.0,0.0023103547,0.019898008,6.3047e-06,3.068e-07,0.008846835,0.0,3.5607e-06,0.0
Magnezone,1e-10,0.0039582279,0.0356167764,1.4682932604,2.1813518176,8.96456e-05,0.0251224487,0.1738148941,11.4128048069,0.0016834825,0.0395026653,0.0052589641,9.33e-08,3.2035281189,0.0082251881,0.5262362509,0.2849954743,0.0046098819,0.0273616952,0.030758754,0.0006528356,10.7796067607,0.2615734126,0.0541431018,0.0015306078,0.0311045796,0.010427512,5.66476e-05,0.0074868568,4.90464e-05,0.0003953707,0.0478942052,0.0001538331,0.0283625086,0.0369822847,1.4692510544,0.0031260584,0.3340662269,7.0000294062,0.0,1.3689005432,10.6794938726,0.0073732587,0.1129650544,0.8141230488,3.915e-07,0.0019863017,0.0233191428,0.0878154567,0.7289079174,0.0074163276,6.19e-08,5.21e-08,3.0991017144,3.2612243161,0.0712554675,0.0753747409,0.0433821071,0.0165879981,0.0525443989,0.0097097485,0.015336736,1.2003589532,0.0097580948,0.0002577086,0.0398334698,0.145055692,0.0135010038,0.0003388837,4.4336103355,0.0021880362,0.0490667959,0.0011064133,2.3375950874,0.1657603031,0.1963421186,0.0738214783,1.6099e-06,0.2766016162,1.6974953108,0.0026917471,1.1544e-06,0.0025471251,0.5315476287,0.0005733148,0.0160053511,0.0503634975,0.0143536,16.5495246443,0.1441564666,0.0,0.0047364235,1.5604537553,5.9773e-06,0.0003858382,10.5532321457,0.0058215768,0.0549800131,0.5410802359,5.9054351867,0.0174498772,0.0467514803,0.000511256,0.1489890172,0.0029383293,0.2190856435,2.2519e-06,0.0361293523,0.5178715309,0.0,0.0232020158,0.260160519,0.0003073375,0.1066421602,0.0741536323,0.5760793797,10.1991621415,0.008960953,0.096892318,0.0,0.0527336691,0.1634525323,0.200062386,1.9093e-06,0.0192029938,0.0231892218,2.248e-06,0.1010223515,2.1680965344,0.1912246377,0.0,0.0006889194,4.5003025412,0.5562737942,3.2791836543,0.1236629704,0.0028215423,5.395e-07,0.0106366054,0.0100993645,0.0123361348,1.3154997867,0.0027415161,2.38112e-05,0.000849763,0.0119528385,9.3040286903,0.0004858595,1.1557e-05,0.0105063555,0.0086754515,1.396e-07,2.7758640384,0.0004734598,30.7563505311,0.0689613813,6.1017498534,0.0012330873,0.6039209503,0.0001719005,0.0698587664,1.2549830821,2.3792622737,0.0521084721,1.2116199515,1.3736769909,2.3980533889,0.0035053914,0.2037327496,0.5459295356,0.0374506506,0.0019400358,0.0072896114
Morgrem,0.0,0.0,0.0,0.0,3.27e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001717044,0.0,0.0,3.27e-07,0.0,0.0,0.0,0.0001717044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001717044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99e-08,0.0001717044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27e-07,0.0,0.0,0.0,0.0,0.0,1.438e-07,0.0,0.0,0.0,3.27e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001717044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meowscarada,0.0014398679,0.312258288,2.3655025412,162.9034997805,109.6651787327,0.0523092713,9.4221705936,0.4875023795,230.9800794451,7.9155e-06,0.8046532372,0.4752156551,0.0015071616,34.1869457626,0.0257024695,4.4092726507,37.6165616059,1.5864592797,0.3119535096,0.0994346842,0.0073277885,78.0203184445,3.5652097769,0.3438382947,0.7718590822,1.8884134295,0.1043910593,0.2318107768,0.3061632641,0.0109014946,0.8861462647,0.0079658462,0.0644977126,7.9906312197,1.9e-09,45.1219600657,0.1532971057,0.0356345873,191.8254495499,10.6794938726,0.3484981431,0.0,0.1462460392,0.6498567959,31.608896671,0.1952980528,0.0449937475,4.053947659,0.1033368173,0.6903416773,0.0146331521,0.5103164989,0.0452578854,72.3010358214,18.7189757449,0.2861397439,0.2512872497,0.0880956412,0.3591686142,0.1676503712,0.1615884894,2.3194282928,18.8662082711,0.3762571061,0.0596254801,0.0508701329,0.0459711058,9.8308936212,1.0694365475,13.5931811168,0.0255467443,5.7970313192,0.1022837203,74.3751106551,12.0116541722,0.1418613512,0.5811109534,0.016126108,0.3346450441,52.8441672927,0.0043332757,0.0094324634,0.0993528612,39.0151587707,0.1975213749,0.1226408742,0.1590866547,0.4129146515,170.9391920349,3.1706568941,4.35845e-05,0.0107511874,33.0859278433,0.4470254352,0.0014568706,150.3284428259,8.234730489,0.0101294511,8.1940313746,45.4271850264,0.0304206095,0.2662562037,0.0090046593,0.4378210741,0.0010824967,6.86657591,0.6335622614,1.3609918056,2.0152613989,0.4201900842,0.6132296224,51.8294250669,0.1759024957,0.007434957,1.5023576681,7.8580930022,148.116236017,0.0508000206,0.0722654476,1.1593e-05,3.0156457929,34.9256572989,6.3598489308,0.0885992378,0.0990447412,0.8076663021,0.0490205394,0.0341679193,5.021685807,2.2307090185,5.0589e-06,0.0941251145,124.3949200808,40.6321609922,59.9545494837,0.3773970676,24.4531225013,0.0017775236,4.109149293,0.1380994531,0.045371799,56.5019870984,0.0106995023,0.0546535048,1.5779422665,0.0855202279,66.5519033749,0.3327766869,0.1496462946,0.0664257549,8.67536e-05,0.0046524281,52.9736853608,0.754430832,302.034965765,0.0294053779,6.7313657651,0.0024187126,0.8793263899,0.0031017291,6.3484164554,3.2996901339,82.6825330699,0.2391418658,30.6451011471,18.3500610959,22.6598442235,0.0741594567,5.7093030293,184.5858477864,0.2745225163,0.0479535892,0.1386358614
Mudsdale,5.5e-09,0.0353949683,0.0066873441,0.3646377951,0.299101333,0.0,1.159e-07,9.12908e-05,0.0027398152,0.0002720771,7.2486e-06,0.0,0.0029367043,4.14543e-05,1.917e-07,0.0001253777,2.53678e-05,0.002365634,2.083e-07,7.57447e-05,0.0008264609,0.0002886112,0.004696434,0.0001312831,2.319e-07,0.0,0.0017545086,0.0029725452,0.0004652313,7.14759e-05,3.255e-07,8.1e-09,0.0002791837,4.26599e-05,0.0,0.2970280041,0.0002905685,0.0412536155,0.3706355741,0.0029383293,0.0026034147,0.0010824967,1.317e-06,6.83823e-05,1.0695e-06,0.0,1.047e-07,0.0029584582,0.0001303174,0.0001403747,0.0,7e-09,0.0,0.0002906546,0.0038225646,0.010515373,2.159e-07,2.54e-08,4.4768e-06,0.0007235583,1.2794e-06,0.0058593487,0.0081999753,0.0121803112,7.10172e-05,7.3621e-06,0.0018185829,4.887e-07,0.0007422349,0.0036957661,1.6339e-06,0.0006228334,7.6419e-06,0.0001116914,0.0343982046,2.6e-09,0.0004616875,2.0123e-06,0.0016639742,0.0391609522,0.0,0.0029367043,0.0001282596,0.0014992043,1.79229e-05,1.398e-07,0.0038182758,0.0012101541,0.3625722873,0.0058774986,0.0,0.0001285659,0.0001407755,0.0,0.0,0.0026316479,0.0017339847,5.7e-09,0.3017572119,0.3967071326,0.0002284607,1.762e-06,0.0010952494,0.0001281547,0.0,0.000378439,0.0021015523,0.0017666293,2.0889e-06,0.0364180682,2.01688e-05,0.0005159732,2.70912e-05,3.71e-08,0.002103253,0.0025281087,0.0225808638,0.0021428071,0.0004580997,0.0,0.0012020898,1.8969e-06,3.69855e-05,1.6378e-06,0.0010728914,0.0343699042,2.18e-08,0.0058649759,3.9e-09,0.0001045282,1.43473e-05,7.42362e-05,0.3105878346,0.000542169,0.002976301,2.72332e-05,0.0001550843,0.0,0.0022675659,1.0205e-06,5.9693e-06,0.0012546231,0.3256070481,1.266e-07,1.3306e-06,0.0,3.1516e-06,0.0004531969,8e-09,0.0,1.59e-08,6.718e-07,0.0342522309,0.0028417513,0.2964622438,0.0023120164,0.0,4.0642e-05,0.0365472868,0.0,0.0014657833,0.0025416399,0.0369634405,7.10333e-05,0.0363678555,3.70481e-05,0.0362197244,0.0342497289,0.0003164928,0.003958656,0.0,0.0003106882,5.9567e-06
