,Abomasnow,Abomasnow-Mega,Abra,Absol,Absol-Mega,Accelgor,Aerodactyl,Aerodactyl-Mega,Aggron,Aggron-Mega,Aipom,Alakazam,Alakazam-Mega,Alomomola,Altaria,Altaria-Mega,Amaura,Ambipom,Amoonguss,Ampharos,Ampharos-Mega,Arbok,Arcanine,Archen,Archeops,Ariados,Armaldo,Aromatisse,Aron,Articuno,Audino,Audino-Mega,Aurorus,Avalugg,Axew,Azelf,Azumarill,Azurill,Baltoy,Banette,Banette-Mega,Barbaracle,Barboach,Basculin,Bastiodon,Bayleef,Beartic,Beautifly,Beedrill,Beedrill-Mega,Beheeyem,Beldum,Bellossom,Bellsprout,Bibarel,Bidoof,Binacle,Bisharp,Blastoise,Blastoise-Mega,Blissey,Blitzle,Boldore,Bonsly,Bouffalant,Braixen,Braviary,Breloom,Bronzong,Bronzor,Budew,Buizel,Bulbasaur,Buneary,Bunnelby,Burmy,Butterfree,Cacturne,Camerupt,Camerupt-Mega,Carbink,Carnivine,Carracosta,Carvanha,Cascoon,Castform,Caterpie,Celebi,Chandelure,Chansey,Charizard,Charizard-Mega-X,Charizard-Mega-Y,Charmander,Charmeleon,Chatot,Cherrim,Cherubi,Chesnaught,Chespin,Chikorita,Chimchar,Chimecho,Chinchou,Cinccino,Clamperl,Clauncher,Clawitzer,Claydol,Clefable,Clefairy,Cleffa,Cloyster,Cobalion,Cofagrigus,Combee,Combusken,Conkeldurr,Corphish,Corsola,Cottonee,Cradily,Cranidos,Crawdaunt,Cresselia,Croagunk,Crobat,Croconaw,Crustle,Cryogonal,Cubchoo,Cubone,Cyndaquil,Darmanitan,Dedenne,Deino,Delcatty,Delibird,Delphox,Dewgong,Dewott,Diancie,Diancie-Mega,Diggersby,Diglett,Ditto,Dodrio,Doduo,Donphan,Doublade,Dragalge,Dragonair,Dragonite,Drapion,Dratini,Drifblim,Drifloon,Drilbur,Drowzee,Druddigon,Ducklett,Dugtrio,Dunsparce,Duosion,Durant,Dusclops,Dusknoir,Duskull,Dustox,Dwebble,Eelektrik,Eelektross,Eevee,Ekans,Electabuzz,Electivire,Electrike,Electrode,Elekid,Emboar,Emolga,Empoleon,Entei,Escavalier,Espeon,Espurr,Excadrill,Exeggcute,Exeggutor,Exploud,Farfetch'd,Fearow,Feebas,Fennekin,Feraligatr,Ferroseed,Ferrothorn,Finneon,Flaaffy,Flabebe,Flareon,Fletchinder,Fletchling,Floatzel,Floette,Florges,Flygon,Foongus,Forretress,Fraxure,Frillish,Froakie,Frogadier,Froslass,Furfrou,Furret,Gabite,Gallade,Gallade-Mega,Galvantula,Garbodor,Garchomp,Garchomp-Mega,Gardevoir,Gardevoir-Mega,Gastly,Gastrodon,Gengar,Geodude,Gible,Gigalith,Girafarig,Glaceon,Glalie,Glalie-Mega,Glameow,Gligar,Gliscor,Gloom,Gogoat,Golbat,Goldeen,Golduck,Golem,Golett,Golurk,Goodra,Goomy,Gorebyss,Gothitelle,Gothorita,Gourgeist,Gourgeist-Large,Gourgeist-Small,Gourgeist-Super,Granbull,Graveler,Grimer,Grotle,Grovyle,Growlithe,Grumpig,Gurdurr,Gyarados,Gyarados-Mega,Happiny,Hariyama,Haunter,Hawlucha,Haxorus,Heatmor,Heatran,Heliolisk,Helioptile,Heracross,Heracross-Mega,Herdier,Hippopotas,Hippowdon,Hitmonchan,Hitmonlee,Hitmontop,Honchkrow,Honedge,Hoopa,Hoothoot,Horsea,Houndoom,Houndoom-Mega,Houndour,Huntail,Hydreigon,Hypno,Igglybuff,Illumise,Infernape,Inkay,Ivysaur,Jellicent,Jigglypuff,Jirachi,Jolteon,Jumpluff,Jynx,Kabuto,Kabutops,Kadabra,Kakuna,Kangaskhan,Karrablast,Kecleon,Keldeo,Kingdra,Kingler,Kirlia,Klang,Klefki,Klinklang,Koffing,Krabby,Kricketune,Krokorok,Krookodile,Kyurem,Kyurem-Black,Lairon,Lampent,Landorus-Therian,Lanturn,Lapras,Larvesta,Larvitar,Latias,Latias-Mega,Latios,Latios-Mega,Leafeon,Leavanny,Ledian,Ledyba,Lickilicky,Lickitung,Liepard,Lileep,Lilligant,Lillipup,Linoone,Litleo,Litwick,Lopunny,Lopunny-Mega,Lotad,Loudred,Lucario,Ludicolo,Lumineon,Lunatone,Luvdisc,Luxio,Luxray,Machamp,Machoke,Machop,Magby,Magcargo,Magikarp,Magmar,Magmortar,Magnemite,Magneton,Magnezone,Makuhita,Malamar,Mamoswine,Manaphy,Mandibuzz,Manectric,Manectric-Mega,Mankey,Mantine,Mantyke,Maractus,Mareep,Marill,Marowak,Marshtomp,Masquerain,Mawile,Medicham,Medicham-Mega,Meditite,Meganium,Meloetta,Meowstic,Meowth,Mesprit,Metagross,Metagross-Mega,Metang,Metapod,Mew,Mienfoo,Mienshao,Mightyena,Milotic,Miltank,Mime Jr.,Minccino,Minun,Misdreavus,Mismagius,Moltres,Monferno,Mothim,Mr. Mime,Mudkip,Muk,Munchlax,Munna,Murkrow,Musharna,Natu,Nidoking,Nidoqueen,NidoranF,NidoranM,Nidorina,Nidorino,Nincada,Ninetales,Ninjask,Noctowl,Noibat,Noivern,Nosepass,Numel,Octillery,Oddish,Omanyte,Omastar,Onix,Oshawott,Pachirisu,Palpitoad,Pancham,Pangoro,Panpour,Parasect,Pawniard,Pelipper,Persian,Phanpy,Phantump,Phione,Pichu,Pidgeot,Pidgeot-Mega,Pidgeotto,Pidgey,Pignite,Pikachu,Piloswine,Pineco,Pinsir,Pinsir-Mega,Piplup,Plusle,Politoed,Poliwag,Poliwhirl,Poliwrath,Ponyta,Porygon,Porygon-Z,Porygon2,Primeape,Prinplup,Probopass,Psyduck,Pumpkaboo,Pumpkaboo-Small,Pumpkaboo-Super,Pupitar,Purugly,Pyroar,Quagsire,Quilava,Quilladin,Qwilfish,Raichu,Raikou,Ralts,Rampardos,Rapidash,Raticate,Rattata,Regice,Regigigas,Regirock,Registeel,Relicanth,Remoraid,Reuniclus,Rhydon,Rhyhorn,Rhyperior,Riolu,Roggenrola,Roselia,Roserade,Rotom,Rotom-Fan,Rotom-Frost,Rotom-Heat,Rotom-Mow,Rotom-Wash,Sableye,Salamence,Samurott,Sandile,Sandshrew,Sandslash,Sawk,Sawsbuck,Sceptile,Sceptile-Mega,Scizor,Scizor-Mega,Scolipede,Scrafty,Scraggy,Scyther,Seadra,Seaking,Sealeo,Seedot,Seismitoad,Serperior,Servine,Seviper,Sharpedo,Sharpedo-Mega,Shaymin,Shedinja,Shelgon,Shellder,Shellos,Shelmet,Shieldon,Shiftry,Shinx,Shroomish,Shuckle,Shuppet,Sigilyph,Silcoon,Simipour,Simisage,Simisear,Skarmory,Skiddo,Skitty,Skorupi,Skuntank,Slaking,Sliggoo,Slowbro,Slowbro-Mega,Slowking,Slowpoke,Slugma,Slurpuff,Smeargle,Sneasel,Snivy,Snorlax,Snorunt,Snover,Solosis,Solrock,Spearow,Spewpa,Spheal,Spinarak,Spinda,Spiritomb,Spoink,Spritzee,Squirtle,Stantler,Staraptor,Staravia,Starly,Starmie,Staryu,Steelix,Steelix-Mega,Stoutland,Stunfisk,Stunky,Sudowoodo,Suicune,Sunflora,Sunkern,Surskit,Swablu,Swadloon,Swalot,Swampert,Swampert-Mega,Swanna,Swellow,Swinub,Swirlix,Swoobat,Sylveon,Taillow,Talonflame,Tangela,Tangrowth,Tauros,Teddiursa,Tentacool,Tentacruel,Tepig,Terrakion,Throh,Thundurus,Thundurus-Therian,Tirtouga,Togekiss,Togepi,Togetic,Torchic,Torkoal,Tornadus,Tornadus-Therian,Torterra,Totodile,Toxicroak,Tranquill,Trapinch,Treecko,Trevenant,Tropius,Trubbish,Turtwig,Tympole,Tynamo,Typhlosion,Tyranitar,Tyranitar-Mega,Tyrantrum,Tyrogue,Tyrunt,Umbreon,Unfezant,Unown,Ursaring,Uxie,Vanillite,Vanilluxe,Vaporeon,Venomoth,Venonat,Venusaur,Venusaur-Mega,Vespiquen,Vibrava,Victini,Victreebel,Vigoroth,Vileplume,Virizion,Vivillon,Volbeat,Volcanion,Volcarona,Voltorb,Vullaby,Vulpix,Wailmer,Wailord,Walrein,Wartortle,Watchog,Weavile,Weedle,Weepinbell,Weezing,Whimsicott,Whirlipede,Whiscash,Whismur,Wigglytuff,Wingull,Wobbuffet,Woobat,Wooper,Wormadam,Wormadam-Sandy,Wormadam-Trash,Wurmple,Wynaut,Xatu,Yamask,Yanma,Yanmega,Zangoose,Zapdos,Zebstrika,Zigzagoon,Zoroark,Zorua,Zubat,Zweilous,Zygarde,empty
Abomasnow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abomasnow-Mega,0.0,0.0,0.0,-0.0019413968130141664,-0.026253075034522344,0.0,-0.009096201851858552,-0.032836136601080916,-0.001966996055843642,-0.04127698031515676,0.0,-0.36268712201305786,-0.28563855490652057,5.34381944553841,0.0,-0.2614762188414243,0.0,0.0,-0.9447048823908174,0.0,-0.0135781576495284,0.0,5.497638782273723,0.0,-0.001500120600513171,0.0,-0.0058939600314874266,0.0,0.0,-0.0018379725917839242,-0.02834174303504166,0.0,0.0,0.0,0.0,-0.1553492838085368,0.16331109540769484,0.0,0.0,0.0,-0.007785227155490893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0731372450171228,-0.02780093956822009,-0.018850245473066275,-0.02571084972230651,0.0,0.0,0.0,0.0,0.0,0.0,-0.4177033798905107,-0.010884668562390423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010610987648202863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22839626216658004,-1.4375307047195174,-0.0018429544252815762,-0.16247327362803654,-0.23765118870977858,0.0,0.0,0.0,0.0,0.0,-0.06148199595894206,0.0,0.0,0.0,0.0,0.0,-0.002182998755892821,0.0,0.0,0.0,-0.0025178329058495397,1.5625950695920858,0.0,0.0,-0.011821241023413134,5.492138631087565,-0.07220729516754057,0.0,0.0,-0.20046719301691868,0.0,0.0,0.0,-0.0011791439821278525,0.0,-0.3701481020472731,0.0,0.0,-0.016099870047540064,0.0,0.0,-0.0013310690665298405,0.0,0.0,0.0,-0.023944850312401813,0.0,0.0,0.0,0.0,-0.001803973588327365,0.0,0.0,-0.008098782721126834,-0.6252454888679375,-0.07077415298488891,0.0,-0.5052562935516486,0.0,0.0,-0.026626439979698307,-0.03421151614767359,-0.03507765092264503,0.0,-0.4716760368129783,-0.003644754340919874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3146954439188854,0.0,0.0,0.0,-0.0018552846000787614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021767678417410497,0.0,0.0,0.0,-0.0020902961695758024,0.0,-0.15970237839936036,-0.11606428778089442,-0.0015537435119761787,-0.14664968794437264,0.0,-1.6627071820019856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0096230052654188,0.0,-1.1119500047007604,0.0,0.0,0.0,-0.014998040389302053,0.0,0.0,-0.0020715438282022823,0.0,-0.013109111482478352,0.0,0.0,-0.017589130796473854,0.0,0.0,0.0,-0.0038334224311250636,-0.017007316382572586,0.0,0.0,0.0,0.0,-0.12240493234866992,-0.014707009770253392,0.0,-2.257696803211454,-0.05893056309095984,-0.0042450275165868915,-0.4094340728354575,0.0,-0.32747484026576335,-0.5780042819667028,0.0,0.0,0.0,0.0,0.0,0.0,-0.003130794262506789,0.0,2.213085869105313,-0.6477228791600779,0.0,0.0,0.0,0.0,0.0,-0.0021212392500926515,0.0,0.0,-0.023840242288257894,0.0,0.0,-0.0011139061106041894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11892306369307437,-0.1775763901203384,0.0,0.0,0.0,-0.03022953573750807,-0.009857120960915833,0.0,0.36875447050871735,-0.008229376211520544,0.0,0.0,-0.7047958100510796,0.0,0.0,-0.21327813532192225,0.0,-0.0029575975357649643,-0.011600531214284438,-0.00734745665705778,0.0,-0.310154575505883,0.0,0.0,-0.0013402713298549102,-0.03459126749453528,0.0,0.0,-0.3909573538631947,0.0,0.0,0.0,-0.034326108679262154,0.0,0.0,-0.03978926212797359,0.0,-0.48885459602928827,-0.02647543414561581,0.0,0.0,0.0,-0.0468104920646019,0.0,0.0,0.0,0.0,0.0,-1.8393720308835886,-0.11357529355588243,0.0,0.0,0.0,-0.3960111584377801,0.0,0.0,0.0,0.0,0.0,0.009864648237690642,4.372876082107888,-0.5670012135234579,0.0,0.0,0.10741728943032225,0.0,-0.0020533373503491786,0.0,0.0,-0.24696100033004978,-0.26966498132766037,-1.7118374357686106,-0.009848511578573166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.269418210032116,0.0,0.0,-0.040283450041515734,-0.003310635849988463,0.0,0.0,0.0,0.0,-0.0016688563794110135,-0.02237770093680154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07270385516430133,-0.5291860063614271,0.0,0.0,5.506020682703705,-0.22610283090418498,3.2533585189371275,0.0,-0.2718148820502073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3304299718528716,0.0,0.0,-0.19605104000914927,0.0,0.0,0.0,-0.09097997657722842,-0.47516653643348183,0.0,0.0,-1.5578692108780077,0.0,-0.00593610120230544,-0.0024843898719914886,-0.1506846785581317,0.0,0.0,0.0,0.0,0.0,-0.0009270158121003431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15022340838545756,-0.09753510060559839,0.0,0.0,0.0,0.0,0.0,-0.024995463268254414,-0.0014349475970243258,0.0,0.0,-0.013379971698492952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015785637091353784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017093714316766113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21658797945357472,0.0,0.0,-0.13049543365592522,0.0,0.0,-0.0035485405788054274,0.0,0.0,-0.011364668191105966,-0.028474297547403136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.353511171785006,0.0,0.0,0.0,-0.0018093323897204003,-0.15922068340196252,0.0,0.0,0.0,0.0,0.0,0.007557807515897495,0.0,-0.004235433783225643,0.0,0.0,0.0,-0.06487030189391443,0.0,0.0,-0.03539455481688909,0.0,0.0,0.0,-0.026697068040977198,0.0,0.0,0.0,-0.041387505706373715,0.0,-2.439744286107784,-0.009589451927642205,-0.046270108577100635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02220246965321055,-0.39332571398847826,-1.1309315264224862,-0.2069688333887032,-0.0016126337829345358,0.0,0.0,0.0,0.0,0.0,0.0,0.7064228367804862,-0.22011730605340957,0.0,0.0,-0.0019549680856601696,0.0,0.0,-0.02421225966464111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02379851093146868,0.0,0.0,0.0,0.0,0.0,0.0,-0.5931518802862775,0.0,0.0,0.0,0.0,-0.0013163364386897254,0.0,-0.32456718185597655,0.0,-0.07505727678536014,0.0,0.0,-0.0019289346907554374,0.0,0.0,0.0,-0.012461990970788124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006038737513541643,0.0,0.0,0.0,0.0,-0.03977974353455849,0.0,0.0,2.7464318210479908,0.0,-0.0011430492122315886,-0.00394630164531376,-0.004821001789971757,0.0,0.0,0.0,-0.27813357109494213,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067800840637984895,-0.0836561549348368,0.0,0.0,0.0,0.0,0.0,-1.1213242017692933,0.0,-1.140718923872617,0.0,-0.5751183700768892,0.0,0.0,0.0,-0.30985924073979176,0.0,-0.17856570449609577,0.0,-0.6874805573520959,0.0,0.0,-0.2552893450574374,0.0,0.0,0.0,0.0,0.0,-1.1603469519433591,0.0,0.0,-0.017720210914903452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00438954515629191,-1.1970734476844955,-0.03366190922768171,-0.004764213485157956,0.0,0.0,-0.020783695189213344,0.0,0.0,0.0,0.0,0.0,0.0,-0.011984074855640098,0.0,0.0,-0.01093623617326897,-0.5483146709517955,0.0,0.0,0.6881906940492786,0.0,0.0,0.0,0.0,0.0,0.0,-0.24590179348271557,-0.05252400452769558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6208931017619777,0.0,0.0,-0.006818899534188027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058833356327978446,0.0,0.0,-0.007829864831716396,0.0,-1.1968434071642187,0.0,0.0,-0.00640122994876411,0.0,0.0,0.0,-0.01890434443510627,0.0
