move,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06-DLC1,2020-06,2020-07,2020-08,2020-09,2020-10-DLC2,2020-10,2020-11-H1,2020-11-H2,2020-11,2020-12-H1,2020-12-H2,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09-DLC1,2023-09,2023-10,2023-11,2023-12-DLC2,2023-12,2024-01
blizzard,10.404343408704893,42.46377360883938,31.761909334677714,7.5984186695315925,17.96236276832909,23.06271099868885,14.860067048776472,42.081759422779186,26.972836264889942,55.5976683511348,24.75408837701677,36.54346594753467,14.451989095655287,81.05709250124028,92.79500785812633,144.2092533368462,270.25812461667084,35.28163762325124,121.5904267638015,151.3835524548641,126.83767692646332,241.60909559531515,90.46178199802682,113.39017688428876,41.48053256189425,5.398834068225274,5.694562588098542,12.750983709098165,6.211794434060226,12.078796246499998,23.131340912094796,30.234157796599998,255.8622480499,149.48995420269998,54.11241050850001,79.8817681863,91.94762942239998,135.52612564490002,89.35083003260002,88.69416771789999,82.2537013533,176.08909141989997,83.02493045030002,91.02479929130001,77.10501642130001,111.3316631707,51.1972106715,41.769759615100014,71.28408012530002,57.806551432199996,73.47932905889996,65.96527704169998,46.5169290874,56.64127680489999,128.4247067,67.68282319389999,105.77431478850004,65.9138511047,30.6254665715,20.283410102399998,23.046291872200005,21.001656654500014,44.215798597199985,48.35945619369998,38.49118834459999,45.015115903200005,33.95495951070001,8.543329108000002,23.079940463699998,30.9531571405,33.32768167320001,17.241995369699996,9.1425436093,13.968684984399994,20.749544742,30.353293271300004,51.06793612590001,30.097978121500024,20.417542072699998,50.788821835499995,30.606583161400003,33.8708508978,24.4470874861,13.812626555700001,38.403983841799985,24.677336544,149.38996311199998,292.69138747820006,258.43648036699994,153.44485732560003,79.98582352380002,161.68011052650002,261.685104027,186.75042528819998,250.94415653050004,187.1029908457,415.02456098780004,210.3864438307,162.85524795999993,190.98261478939997,94.68064521109999,112.941446425,0.7717256754,0.1329271347,0.2111334229,0.97776623,7.722955243199999,16.875942445799996,18.4489968795,5.6707461761000015,14.1825281031,16.950840832933178,49.878934682550344,106.1996039364755,63.52635162393941,39.46947546953647,31.83909262819776,53.074689596341315,161.533238741591
frustration,320.7717472197338,486.8187287186086,507.3319135590076,234.16263042660023,783.2992914714509,512.655437142762,380.75029530063415,663.1371946551383,855.4162021657738,596.9924919246649,1078.9916209281398,1317.5595444347348,616.9819474996257,694.0765446038337,1518.9966227312088,2169.634191949074,2352.438531563624,1595.0912817999447,1705.620030754304,1803.9570474538095,2850.4853555536533,5666.90384217745,2591.494487483818,1037.4870510662377,676.4005630818837,196.85823831286828,199.408906286378,155.13793344797264,115.02825996017387,357.0486248915,296.8773746050086,100.66097010300003,1788.1251723296996,2991.6066022918,450.43026584499984,906.8439177059001,2031.4161202494,1885.7566448159002,937.8615503240003,1003.4187574349002,714.8838978924997,718.6984116320003,965.1809468180002,880.1381576031004,1215.4455839094,1281.1332176746996,857.7460993034999,1493.4592982647998,986.6466038423,993.4059248383995,1358.8571899000997,916.5825632741,1252.8363494166,906.2658232117999,781.6354548066,1014.1346368559,2084.9739569894004,920.3366083499,737.2600046196998,861.0155518000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foulplay,426.11628676479523,1396.3566316055883,1306.0152382209908,577.17708605096,1425.7936211530875,1012.3726135662522,700.0150179063912,1595.1145263933536,1957.144938804102,2104.1349121036565,1490.3368773243133,1235.2926259090336,1103.0489263122313,935.4763267912765,1840.3038592712362,1907.6021308921695,2033.8679417704952,1504.087219425186,2125.9642051931783,1524.1869120526296,2041.5683480723098,1915.0295358682095,1048.3519749978354,852.3571463132579,540.3080328758937,83.35536203064595,137.1618682451941,80.7203054577574,168.35748240286722,145.36023219160003,134.23953225081536,31.795384777199995,343.5618856416999,321.85339842879995,125.43591316960004,193.3023413705,264.24674465569996,344.63847010449985,453.7103647395,295.3203240360999,285.38557389839997,305.0857206318001,511.7206309695,356.21071100829994,243.91681254179997,242.42545287049995,206.1588934867,504.4079760637001,273.822869496,422.2148305471001,232.17395345789996,277.9526912022,208.4762834592,204.80167880339997,391.8228909581002,389.0357764782001,882.9405527820002,554.1518929145999,241.78144284480004,170.81000824120005,253.1982136111,695.6694876019998,516.3494677857998,653.9951774403,471.55884022379985,571.5799860277002,643.8970188490996,891.7608162787997,1369.9305819829003,2216.5034736879,1550.9575609525,718.8970573114,217.01327909030002,674.3484806633999,282.3312657303002,305.5915094956002,587.8197497305999,439.6388738063,631.3591747858998,1071.0205745984995,849.8383999319002,746.3043977901,543.0799915059,750.2550273335,582.5221590435,395.86469358829993,309.4959278161,126.4153092182,217.00712912389994,290.4101370493001,200.05804214030007,216.40671247569995,247.83056431600005,291.6722989639001,236.9468776611,172.08453453510006,413.7973751056999,260.47557517930005,198.7314839275,203.126227636,103.1113231917,191.21779219910002,3.7297089092000006,18.520017718,19.308114906299995,41.323977577099996,130.23368683239997,300.3173160202,456.32185723899994,628.00082236,414.0000128034998,611.4124312318027,207.76786287985567,329.93806196402113,333.2099337595146,747.2858265023779,178.78160148509534,515.5514214818619,262.6738787684766
lockon,0.03059218367216454,0.21827316724725088,0.050218854009156155,0.08076238414514425,0.04081192202617673,0.014102852320151404,0.011190198833382181,0.007872060071861198,0.05362326057436739,0.043181562100576,0.050696519227419135,0.08082033960452628,0.06732880385875134,0.0583982034685156,0.07662083104663475,0.04599495168997786,0.10883506210647226,0.06368081381751045,0.013184664654664169,0.05430920822759222,0.14073867515803767,0.04461132496546677,0.0340095300036502,0.03576232121810241,0.015037531009274352,0.07692100400834295,0.015506294829958855,0.0215442553057697,0.00013994452308663252,0.0031921689,0.002080642541827271,0.0001422029,0.11830937859999999,0.162797048,0.0020238645,0.0429384952,0.0155903388,0.010866541699999998,0.013756017,0.009021222700000001,0.018036908100000002,0.013678589100000001,0.005230870800000001,0.0121186213,0.0293297885,0.006494208999999999,0.0136351765,0.0158094475,0.028381084200000004,0.033287091899999996,0.007248906700000001,0.0577372113,0.00035188689999999997,0.006851993,0.0076071804,0.0103833783,0.007865844999999998,0.0044674578,0.0010570472999999999,0.26017397180000007,4e-10,0.015274085,0.0002203946,1.73e-08,1.0022e-06,4.20557e-05,5e-10,0.0001868732,0.0001868732,0.0037459373,0.0099873329,0.001457542,0.0013846407000000002,0.0015089594000000002,0.007542332099999999,0.0020966746000000004,0.009639006700000001,0.0019309412999999997,0.0320933885,0.0340243304,0.0242049687,0.0071832365000000006,0.0064294483,0.0033346036,0.0679103207,0.0027276471,0.00030391709999999994,0.004947712000000001,0.0027689225000000002,0.00010591100000000001,0.0020374107,0.0028065752000000005,0.0003558358,0.0023255262999999997,0.0018254047000000001,0.0011399798000000002,0.0012655494999999999,5.6079e-06,1.0601e-06,3.0778999999999998e-06,1.26522e-05,3e-09,0.0,0.0,2.918e-07,7.79e-08,3.111e-07,5.3966e-05,0.0003992931,0.0001517789,0.0001744753,3.6659796030569236e-05,3.145585113406568e-05,3.366084379430312e-05,0.0,7.890180066744135e-05,3.296217460091455e-08,3.3024506906897955e-08,0.0006790441966706418
thief,1.9724268103851095,7.377873718703581,6.327627730876609,1.7924828051784054,3.9277662923484025,1.4993888075691255,1.53354603994862,5.036032051327402,4.615244473431804,7.6434861363130135,4.51234582223112,2.8261966429024725,3.400164683371527,2.90346107505445,2.151333824353131,2.0066819818739625,4.113116930773178,1.055228259327955,4.510185805121537,2.496115971500566,2.0813881175434856,12.626138364825142,3.9975797785037255,2.1863437871735507,1.8061320774284741,0.24674096697588255,0.5091919198874448,0.19073404442573672,0.588581342059542,0.0068709337999999995,0.02984353609460172,0.028116506200000002,2.207110378499999,3.088090639,0.7502089486,0.573873935,1.099191908,0.5261509009999998,3.9530023556000002,0.2635095176,2.7561411935000013,0.9057697987999999,0.8568712174000003,23.810154842199992,2.8480159378000005,1.2949561445000004,0.8411885833999999,4.748838087499999,1.0482107958,0.6723381620999997,6.130884543799998,1.8486630240000002,0.6554742652999999,0.4309065881000002,0.3079002550999999,3.6872391649999994,14.087502822299998,1.4759962872000005,3.336358662400001,29.606179664299997,1.4558970412,5.130689058099999,4.3820836414,2.1135028854,4.2565353802,0.39166085300000003,1.9509059814,0.2659583116,1.6689078111,8.2856872097,27.382243180900005,0.5231610973999998,1.0693956692,1.1708554164999998,0.0743965159,0.06552660930000001,0.1395223144,0.1279940672,0.38568811450000007,0.5136844279999999,0.8651897710000003,0.22627195109999995,0.24089223789999997,0.6526574616,0.36029721750000004,0.18089203709999999,0.43112006040000006,0.3648949083,0.4299180391,0.17921336560000004,0.08520263330000001,0.43674788330000014,0.41980154560000005,1.2351415149,0.7725081494,0.9926707188,3.0467218850999997,0.1728833037,1.1948678672000002,0.25632938609999995,0.1816012254,0.06406689780000001,0.2429178858,5.5694168194,6.7914888323,17.0726952036,22.8329177484,32.89672025139999,45.541871152300004,32.8237853041,107.54954967559999,46.41843781803281,18.383308378530746,35.88618609102117,7.571400091341816,13.745205752801695,1.8357998620776574,3.603799467692112,23.040233347091046
rest,438.5590349457687,2082.1125752944567,1451.564148029423,835.3801643799864,1986.8442850272115,1160.145634642743,1017.356401092035,3268.3463657511215,2802.7442177617386,2835.4410044448305,3072.652832492727,3284.434091973627,1666.1314423840463,986.9504894040621,1778.2261987563688,2264.882455001108,2134.569646105917,2259.726755198945,2877.6689106645845,2919.3836856351063,2681.0086862858197,4847.7473150952355,2563.838877630683,1567.0068030119696,1238.654492396005,153.24535805852375,282.62456096953616,113.35766868687969,228.0158784463325,568.5019931010003,552.1852141188704,243.03159660190005,741.0073505760993,580.1874502996,160.00332047280003,335.46997209439974,640.8189253653002,686.4029767307997,526.8695229619999,644.6942440444001,527.8983374092,556.9335146770997,570.4965244274001,848.3875537909007,2149.5572876862984,1430.3111603701002,673.7893197422001,673.2218733890003,830.7431233039,1599.4803525788996,573.2785301993003,818.9846188565003,918.805409298,625.3861678165998,671.7598770477,603.4063536994006,2275.2392885453996,1865.3586320308004,1116.2543524840005,495.8325691099,247.44312036599993,1111.3649468204,601.7657869898003,546.5346086946004,461.0695390275998,455.8407021983003,481.8771531118002,75.1038234306,408.2359492847002,158.2860904146,386.7705826146002,339.16618247100035,132.8830626296,303.0741126706001,269.98560507969995,232.5215336273998,502.5427118444002,168.16847174210005,180.3666610421,348.50208122160006,403.4546206388001,312.51835033990005,296.15541580999997,579.1075649401,377.87370032160015,459.3700841846003,497.1367606459996,217.1796502767999,152.5254122673001,233.87349939300012,207.7305433566,204.7229696258,183.63912099639995,117.9409856436,76.14188953499999,183.43814159999997,132.27888032390004,123.15123547830004,148.06382730709998,147.7179048005,48.17763824249999,87.82475020999998,7.5254069935,43.03040410140001,43.99958641519999,112.17794864700002,263.4952941348,570.3396799161,817.0999331022999,941.3092262250001,815.8758580574001,1332.523426805439,519.0078581437358,849.923315453186,661.0160271179013,574.6909802379076,353.1855623259831,633.2932124768471,977.0995083358231
gravity,6.943083823278265,11.955001774067126,25.07192110033131,10.742156864108711,11.13107888157832,4.775726047168491,10.938065494205523,69.12229566242132,11.4604882759803,8.780374725386114,66.79266480167931,29.55910357156785,15.223324440507838,6.554920528532829,10.971166562018054,28.065983932041593,17.25895230961414,13.991658208393012,65.87932482723109,106.15431948205519,46.90375658273075,130.79213312777276,73.50930884893303,122.17301312869796,74.97373059782524,39.097428305787425,15.741985975994396,5.177628593117413,8.36133611168153,6.6536027589,2.588707735020861,5.568061790099999,384.2329769627999,1600.9504154799995,184.67834014139999,293.4577017782001,635.3180501534001,446.38070770010006,119.89886260379998,232.79779720650004,181.171584841,124.27969555790003,216.95859799630003,173.23899421750005,116.72873671930002,124.25423333339998,76.504620522,82.40452889130002,122.79361610229999,31.2100034878,69.76637173800002,86.4348793039,37.752850431999995,34.947950328100006,43.8126760332,57.5869509774,125.6444645639,38.18414362640001,19.187013592400003,10.899362539500002,0.38890012009999997,7.647839789799999,76.75514226379998,26.969880538600002,72.1620730027,54.9886714518,5.6176131627,15.074730872400004,21.4175418915,5.6183978366,41.470356377499996,17.302995651799996,97.91408315369999,101.79729221160001,29.355094005399998,6.160947697999998,35.5320395675,17.9248596756,46.7218701053,64.64672617849999,33.139439695399986,64.68427154060001,32.524946031999995,65.638652399,55.6246114908,30.260335125900003,49.17335814919999,16.0263129213,33.127243324000005,44.37842841879998,34.809323079100004,12.8310568418,103.8705781035,40.4656085661,15.122620150400003,24.433633141199998,19.959472324999997,13.355427920799999,33.813664952699995,27.589496161500005,6.879623338799999,21.666391054999995,0.004831777000000001,0.028028599600000002,8.057020000000001e-05,0.0409655924,0.16392065509999998,0.8536660437,4.1697460895,5.777681227,2.0803760575,1.5956299011988198,0.5430563502053842,0.6809907598875193,5.838633765965083,2.8344511763466134,8.019259186438946,17.125587047417845,22.58915286952849
shockwave,0.3122424595219222,0.5105195012937916,0.32044035507971763,0.5802946812183052,0.6944387650602049,0.07273540890787011,0.09470710856910308,0.7855870201738933,0.2833345793838457,0.5570254756727453,0.26653606286350506,0.2577139750733508,0.12827303589914274,0.5228387900773297,0.23507351986388297,0.5631703951645751,1.1712545700908379,0.28887664943050334,0.33709023477445127,0.2595897948232531,0.5108912800084375,0.462638925486134,0.29534501760137144,0.2849502956473846,0.09812063037381069,0.05550322111287331,0.12971340406825738,0.07372582744138817,0.06279917618672964,0.008060447500000002,0.11137733456883564,0.0020013659000000005,0.22044329989999997,0.5964679629000004,4.4890815783,2.0248453731,1.4050882814999996,0.32893078649999996,0.319355991,0.2872117551000001,0.8050017641999998,0.6874656499,0.39429062769999995,1.7642101913000001,0.37120406940000006,8.201305033299999,0.8062174988000003,1.0238039619,0.7798178065000003,0.05774727910000001,1.1901973955,1.1718948436999996,0.2408696757,27.346753893099997,5.253340259800001,3.2295228967000003,1.2433004924,0.5801517627,0.1997337808,0.5080655837000002,0.3219978105,0.25579424460000005,0.044906665899999997,0.3011002609,0.39530158569999996,0.1337441623,0.7060285441999999,0.14396018409999997,0.2997035384,4.3717692894,0.32429424740000007,0.1302120846,0.7931177837000001,1.2115003594,21.739062046400004,203.5925164237,225.3312044033,159.8127235092,18.9146314529,178.72736750270002,0.22216395269999997,0.17760541849999997,0.5093807476999997,0.07684970320000001,0.1872326922,0.09079894229999999,0.3620869797,0.11336547079999999,0.5096101808,0.1901443239,0.020961892500000003,0.26657265020000004,0.06001583010000001,0.4091308876000001,0.1008649163,0.9418479620000001,0.1778298301,0.067014583,0.134698168,0.027655841200000003,0.031299848400000004,0.1375613842,0.0,0.0,0.0,2.5876e-06,0.0,1.6289e-06,0.0031163806,0.0212870774,4.738e-07,5.989957719609862e-06,9.03713471667178e-06,9.037250456533918e-06,0.0007694094277300723,0.0023860837371655896,0.002347784885348869,0.0037167243605941702,0.009444295839245498
chargebeam,19.9208822821301,39.33881405734762,29.55958648652621,13.55596929007648,41.00706331798093,18.57671150640734,12.951221049403312,75.46671938022783,26.865354604360448,47.691963227923985,18.396522489147742,55.68974774115597,26.315997813350396,243.99405151707728,99.32824279605097,147.79050148168167,177.57029072908986,222.46683798833018,161.57288037876924,80.39536696969434,212.35306405238748,446.6028544897889,209.18796782456576,84.47157930063274,79.82377853358052,2.6478677288771064,14.829070502760583,53.72747171412444,54.5377261155223,79.22140675410002,140.97541838183858,40.3752111885,13.401025702399998,27.94676705449999,21.039287823699993,194.03836019060003,349.8978403052,103.6806355023,55.605240607400006,55.78472548000001,89.5939431037,130.42307355199998,113.47630419819998,57.74179640419999,149.51633644059999,92.1516084515,40.3042233575,28.3545475632,22.897725865299996,27.6943442024,99.1076325211,18.055056531100004,39.945924196099995,40.518343318499994,68.1271258988,129.39344692269995,99.7508241436,44.5264103949,46.5547001045,70.6798694749,0.0,0.0008915538,,6.093544269399999,2.9978755591999997,2.4941858479,4.7925152430999995,3.5794914665999995,16.250290334400002,17.2890506836,4.1348253294,3.019697138300001,0.9176973140999999,1.7849666459,0.5752632017,0.5122126319,1.0795405895999999,1.4194846462,6.103651855899999,7.5248719275000004,27.561823403899997,18.112146747299995,6.8809001603,22.0683336324,5.835362048800001,13.957637773700002,11.854271315299998,2.520322485800001,6.818712718400003,4.2173741957,5.470400264200001,10.083632849,12.764773830699998,23.6269193301,16.977915260499998,5.621673572400002,5.3069449876,9.3943127989,8.7181273307,14.7717263606,2.3087625774,6.3013469823,0.060971647500000004,0.09349911709999999,0.09177634269999999,0.031851986299999996,0.17530049990000002,26.2886773259,8.714309131200002,3.6464554051,2.6119543435,1.1642772263014634,4.512412958487489,5.664129088463229,11.535851153986119,15.540855022502429,15.040434865892824,17.82935267999419,6.6163123030557225
gigaimpact,3.2416368864364467,8.178604302087665,5.917360757362143,2.282164973259217,4.0175494825694384,2.321872759033656,1.2274313193934034,3.3736775650513087,4.5073478019395505,7.281036972891181,5.719192899428799,3.0395932360316467,2.6384226292863704,3.8697147574977837,4.306179584013117,4.332375858019054,9.080896292730822,76.320069033405,29.4780346950434,16.162319331356475,19.527855347785664,17.24217007204245,12.867371705183164,13.696271239458996,8.690084294794126,1.0825990895043138,1.0883563086973804,0.38661753573552116,0.21933678779571197,0.07581514510000002,13.02744846197501,2.6986214875999996,40.90919757969999,63.3808814424,6.627014063700001,26.884565200399997,51.449675822100005,170.92662422230003,259.35919281969984,465.0147417523,597.9599208008001,297.03539413180005,400.7893624732001,369.0861450330001,303.67714782790006,185.88774976520003,74.83971324779999,287.9651792928,295.93964262659983,376.5470836743999,437.11287768870005,660.5603981528,430.1202509106,394.4015671354,731.6912730491,618.8143815063,1057.0879489617002,499.81484159520005,373.5268206440999,374.4971462414,1.1929171544,4.518365396500003,8.970338761599997,2.3073884116999994,1.0965800440999998,1.0175203308,0.9967836926999999,0.0634317316,0.30002334489999993,0.15864117769999994,1.7253556736999995,0.13478928290000003,0.7606332391999999,1.0531736795999997,0.39091325850000014,0.3195898770999999,0.7107794449999998,7.146151045700001,6.1455739194,13.2917638002,4.280298826299999,10.4883930709,1.7219317486000003,4.1323770144,3.8573534417,5.6011983886999985,3.3853107189000005,1.1741381348000006,1.3144268682999996,1.9316380894999998,5.271876668500001,0.2884686581,0.29371856520000006,4.9117439928,0.2994152913,1.6228443283,0.33387259089999993,4.974615110499999,3.0457969347,3.0242852506999998,1.7009731629000002,0.07327218630000001,0.049821055600000004,0.0059282938000000006,0.8170869154999999,0.004881400300000002,0.3707626765000002,1.3447799441,0.3419476160999999,3.1627402906999995,0.10926983330000002,3.1735002409009536,0.10579090889454301,0.1793867170026361,0.0443215535410309,0.6036124739889162,0.06456064693732766,0.39766513600919173,0.03634825842322209
