,2020-12-H1,2020-12-H1,2020-12-H1,2020-12-H1,2020-12-H1,2020-12-H1
1,0.4788428419277206,0.0,0.0,0.0,0.0,0.0
20,2.1213903387484536,0.0,0.0,0.0273766182023927,0.0273766182023927,20.165259881558104
35,0.4957052516900639,0.0,0.0,1.6342650779080528,0.0,13.902312919209633
45,0.1785927575123482,0.0,2.034102570566912,2.1711344475473666,1.4460508277666029,3.278201243768038
48,2.4415777429416554,2.241559805966565,2.241559805966565,2.5178553494548437,2.5178553494548437,2.535511284382474
50,18.663364720284445,19.05090257288136,11.290226456376987,18.003399759380027,19.964448419417728,8.051304708290644
51,0.5036405033429314,0.0,0.0,0.0,0.0,0.0
53,2.1642902929967684,1.6327276229003096,2.1642902929967684,27.84866648509268,6.768174516021976,0.0
54,0.4938702247453383,0.0,0.0,17.695214423311786,0.0,0.0
55,3.080960644871451,3.975610673409426,1.131170123116256,15.077027735770999,3.6334029458795176,12.335398289705292
57,3.1399790790396525,0.0,0.0,0.0,0.0,0.0
58,0.5922673452408949,0.2218398790204758,0.2218398790204758,0.0,0.0,0.3538130330722277
59,8.365639864389856,0.0,0.0,8.365639864389856,0.3316935190898596,0.1645572811513389
60,23.238235679453854,6.977516373689185,35.505242018976,32.265873912984176,28.251231720507214,40.37748653383661
61,8.130210866913844,0.0,0.0,0.4938702247453383,0.0,9.64356254776133
62,0.7437314611650023,0.0,0.0276245948165448,0.0,0.0276245948165448,0.0
63,2.1160340438827685,12.753189289228764,0.3415133930102831,23.089747282899573,4.031752578853464,0.0
65,6.35702928975778,38.43682155148222,17.096499686102938,23.393667421204395,23.919774605789513,27.94438545815539
67,0.2708400579769324,2.6260227485479937,0.0,0.0,0.0,7.624586550657696
68,2.486659891394509,0.0,1.8146928623651264,5.364031736047079,0.0,0.3415133930102831
70,40.191454477899704,22.437816764293682,14.106000910074174,4.13372056259281,45.045100746698914,10.835635727313344
71,17.732708487371585,0.0,1.0201757906217723,0.0,0.5263055658764341,0.5802652771159327
72,0.248571758026073,1.0886669314505846,0.3538130330722277,0.412781871917599,4.748553779721547,0.531463479450798
73,2.57260858585963,0.1645572811513389,16.877883503066435,0.0,0.3415133930102831,0.3319910910268422
74,17.695214423311786,1.0599512395317705,1.0599512395317705,4.031752578853464,0.0,2.0061804038133846
75,7.814189469838397,26.127411210940068,47.7412016864063,10.965922640388861,57.140408078582134,5.931501419872763
76,0.6420114540398076,0.5561123548975175,0.0,0.2218398790204758,0.2218398790204758,1.1447592415717915
77,0.5777359156515812,1.397596197361281,11.509586569255942,0.6095265175858815,0.8140080336157098,13.700608741258309
78,5.741948096014892,0.0,1.3268732670050996,0.0,0.0,1.6534584678434259
79,8.761559326545113,0.0,2.3713507658137787,0.2708400579769324,2.1642902929967684,7.795144865871516
80,64.03192616248337,8.441768684934551,32.1087559302574,31.207856891042795,64.56601819404419,31.347517320133264
81,10.695578535640232,0.0,0.0,2.57260858585963,1.0985859960166688,2.3713507658137787
82,0.8631569985406575,2.5678970301907396,0.0,0.5036405033429314,2.0981797276638163,0.0
83,0.9022877082538603,2.6541432965928426,2.5223685238324127,0.0,0.0,0.5263055658764341
85,11.223173579910256,14.522254454589904,27.927374262424557,36.201163588932474,39.377694420898145,43.614126897072765
86,0.3319910910268422,0.0,0.6244547097578385,0.44065444334829595,0.0929912303070405,3.5959088818197182
88,13.937922361001876,0.0,0.49654837217818115,0.0,0.0,9.203304866995676
89,24.909151700933595,0.7971456238533665,0.5214452242390528,0.0,0.45097027049702365,0.0
90,37.80830002525228,40.98899686433571,83.73034527023871,6.236314273988535,68.61215341651847,12.677853993849354
91,22.71158294631761,0.3415133930102831,0.9595207108001668,0.5415313299853735,0.1184336309190468,24.674069870717396
92,5.273619462527221,5.508502911452098,0.7981871256328052,1.8146928623651264,0.3538130330722277,1.5390420580736432
93,1.0985859960166688,0.0,0.0,0.0,0.0,0.0
95,45.5705135967644,21.33164268388396,30.264801827422325,60.38478531217982,17.35097328754583,11.541823529095716
97,2.0542382716360628,0.0,0.0,1.6936306793360674,0.0,23.731758736939383
98,7.40274667163722,0.9892283091755892,0.0,0.0,0.0,5.273619462527221
100,79.7756142277409,39.95116513878631,43.740297398353356,53.97389550182821,30.136449131937198,33.89081507020011
103,0.0929912303070405,0.0,1.7678252822903782,0.0,2.180458368239486,1.6327276229003096
104,0.3415133930102831,0.0,0.0,0.0,0.0,0.0
105,5.4576181102280845,8.535007891855745,16.784545105499586,30.55394255952369,11.884428019208269,2.1378063906053235
107,6.768174516021976,0.8454018729673665,3.5959088818197182,1.7678252822903782,3.5959088818197182,2.1642902929967684
108,18.859663008047253,0.0,0.0,0.0,0.0,2.545231967657237
109,1.6327276229003096,0.2762955434882788,0.0,1.741589356513085,0.0,11.118676234706559
110,20.66498235439743,17.60147926316229,20.800278395078823,24.326009895093495,17.1300261243363,13.38329786578927
111,1.8146928623651264,0.0,0.0,0.6970622623815756,0.0,0.4743296675501522
114,1.4448109446958424,0.0,0.0,0.9892283091755892,0.6473677489054932,0.0
115,1.1631095110190475,10.99528307150447,31.362941465533524,1.6544999696228646,24.62988043807549,2.0284487037642434
120,1.0513216533592773,23.518002895540263,3.069206553360641,3.1175123977974715,1.5923074347935162,3.074265276289344
123,0.3538130330722277,7.205654858709124,0.0,0.0,0.2997541311870682,0.3500933838599461
125,2.1744077388541743,23.630584278365326,4.581566327751517,33.08146899693046,2.1636951491228036,2.1711344475473666
130,0.4496311967806022,44.6564222016769,4.063791157401916,49.798316486766524,15.535784471952397,20.727819628423575
135,9.159165029676602,12.76568731058203,0.0273766182023927,7.186560659419412,8.065588161265804,0.0
160,1.094469584221744,0.384314156612937,0.0,0.0,0.0,0.0
200,1.3243935008635783,0.0,0.2839828185269941,0.0,0.0,9.345593848196156
250,1.6342650779080528,0.0,0.0,0.0,0.0,0.0
255,7.886995403753456,0.0,0.0,0.0,0.0,0.0
5,0.0,1.6342650779080528,1.6342650779080528,0.0,0.0,2.357761647358243
10,0.0,10.00838574250191,7.886995403753456,2.1213903387484536,0.0,0.0
40,0.0,0.3354131683021413,0.7665949049898266,2.153032154714263,0.0713180742301462,1.6188409325077915
52,0.0,0.5036405033429314,0.4602445958663125,0.0,0.0,0.0
56,0.0,0.8140080336157098,0.0,0.0,0.0,0.0
64,0.0,0.6970622623815756,0.0,0.0,0.0,0.0
84,0.0,1.2813447606467725,0.0,0.0,0.0,0.0
