,hp,attack,defense,special-attack,special-defense,speed
1,0.4112997908953791,0.0,0.0,0.0,0.0,0.0
20,2.285876653983272,0.0,0.0,0.0,0.0,17.754717708761824
35,0.3328052156177156,0.0,0.0,7.757626105512134,0.0,17.596202051624847
40,0.3223339160839161,1.931673565405183,2.0907784005210477,4.92673304024407,0.6619414592760181,2.9749203002879474
45,0.29223227752639513,0.0938935451803098,9.049880878924997,3.5065463029617443,2.8133248491704377,13.127019273618538
48,3.2717053167420813,1.6462971770876182,1.6462971770876182,2.406256427396133,2.177441125051419,2.5549167437954203
50,31.695900606746193,42.50509371143562,1.727523395721925,36.51293941964897,9.570419623268888,25.58044743246949
51,0.7481756907308378,0.0,0.0,0.0,0.0,0.0
55,11.444219842657342,5.818614596188125,3.817525152543535,38.02865333196216,6.594213843754285,7.401280551556287
57,5.3573953619909505,0.0,0.0,0.280234471410942,0.0,0.0
58,1.8248181046894283,0.46049615213218137,0.46427224736048256,0.0,0.3470526103798163,0.2311720142602495
59,0.1986868829699712,0.0,0.0,0.0,0.0,0.7984432846565199
60,41.287744883792676,18.687440010969425,33.996506710201565,50.90468278657617,34.451994849513234,42.00308729260935
61,3.05662857363225,0.0,0.0,0.0,0.0,3.5444411593308653
62,1.536522607294666,0.0,0.0,0.0,0.0,0.0
63,3.3943614596188127,15.293399921157274,1.1772579442616204,25.87822333916084,8.729930455573838,0.0
65,15.657003076580281,43.223997968942825,36.62809693370355,38.99311090257781,29.47242325689017,43.38085321541204
67,0.9487372309063484,2.985793312080077,0.0,0.0,0.0,11.678069938639792
68,4.305900135403812,0.0,1.1073332304949952,9.955875925545044,0.2288153023447141,1.1257584327437267
70,30.28032017002605,29.948264817290553,18.857766008501304,3.3574307126696836,55.10589670745921,16.558391822638146
71,0.95910140717126,0.0,2.090376688262717,0.0,0.2311720142602495,0.3157458350473056
72,1.3372733271630328,1.3569572278211983,0.0,2.18349358974359,9.520125248525984,1.27275833847525
73,3.2716249742904155,0.7984432846565199,16.269587489716166,0.0,1.1772579442616204,0.0
74,13.95371632044426,2.849371829151241,2.849371829151241,10.820307143836555,0.0,3.707188185588921
75,22.36032196969697,13.515689273961334,91.55697243932538,3.152343214383656,71.15759546825723,5.432220965309201
76,2.564664961264226,1.1956563656931305,0.0,0.0,0.0,0.0
77,1.3257575757575757,1.256422039969834,1.6575719011380776,0.7664937697106814,1.6575719011380776,0.0
78,13.439658533868093,0.2612468720005484,2.546641471273824,0.0,0.0,2.8339460784313726
79,1.176374177293295,0.0,5.090631641642672,0.9487372309063484,0.4929545026052379,1.1070118606883312
80,67.1538900743864,18.07954224084739,26.38357736013986,9.761902466406143,68.91405928630194,38.468742501371175
82,0.7870078757027287,4.062703534210887,0.1109529257507198,0.7481756907308378,1.9935640340052103,0.0
83,0.5511224376114082,2.28370740778829,4.062703534210887,0.0,0.0,0.0
85,34.986191810640335,16.97309277732072,7.521231831893596,23.35297974084739,23.78417767893871,36.243069124502945
88,41.60517791032497,0.0,0.7984432846565199,0.0,0.0,17.30153271973125
89,0.5148076494583848,0.9487372309063484,3.1401847233648703,0.0,1.7447970228301113,0.0
