,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06-DLC1,2020-06,2020-07,2020-08,2020-09,2020-10-DLC2,2020-10,2020-11-H1,2020-11-H2,2020-11,2020-12-H1,2020-12-H2,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09-DLC1,2023-09,2023-10,2023-11,2023-12-DLC2,2023-12,2024-01
75,36.15823231142043,35.66295275031115,36.97737464264932,37.897586709392215,38.42394365255758,37.05939452306692,36.420933380696816,35.501807280181495,35.21088330153237,34.667555909340265,35.21224360437185,36.167849918410724,31.425040387858274,32.360646854382566,33.48574681798864,33.77559997966011,33.694480709492844,31.61754997196582,33.23336478621604,32.95566334344378,35.16843154237488,33.96325851736188,34.22406883264127,34.74374278802757,36.620922624611616,41.077355237930924,39.47417001318989,36.98324796702483,36.13265301650785,36.02574494141374,34.85798741837817,35.13763933684151,32.80010810501543,34.00030323439784,36.82734412246279,37.451618823625374,34.77142721523119,36.27737060762688,36.84245050651493,35.995272239754435,35.580217200388724,35.43293517973517,35.88663064595936,34.445727218740714,35.25990489355508,35.55536080490615,35.60700584115558,35.97565198336695,36.51666282251222,36.01075933687771,35.61217585272019,36.02831435421439,36.55401384266788,36.677090898851795,36.589276588751375,34.998650001807086,34.729602028440866,35.558362059348525,36.724860392877,37.1209917622887,84.43257558138589,97.64587324890627,106.09693696821134,97.58706201544501,91.53121567355645,91.64181208563754,88.6248063530535,67.21212427200301,81.78266480311709,71.15759546825723,50.340760138949044,52.16067086367011,41.61610624776487,44.16559660047452,46.89463435318216,52.537378494727086,49.562997332053065,57.140408078582134,59.83464631452762,58.396002883868704,64.70444193612171,65.19872064468079,54.06080965978798,55.003249147203896,53.52743821823739,52.83874300271732,48.285359566311776,46.419626933022144,47.04798645434806,46.659930830760004,47.40089746509196,47.103967108612046,46.753115889024286,46.08677271641462,45.5405013722082,45.28623928420034,47.382889970670384,47.770192345157035,47.227140200662,46.783711113450565,46.2284482921623,47.02073605192322,51.01101313134612,60.74778262300487,67.18037094187247,65.9485835285426,56.54610950232865,56.06131960094753,58.507092710784455,61.93941950308319,60.01282534534932,55.85730914894295,57.25135138543741,54.63851158597087,70.07330392584227,65.75748237680881,48.56910055830447,50.91516801399159,56.00390016475806
95,23.226026291559325,22.92094386680125,26.976813317479195,27.943111258382885,29.363684990714415,29.77943902646677,32.849700937989034,32.279475542404896,30.949159137349966,31.612060712326407,31.272062338060124,31.477693601197352,29.599970588706224,28.96728974171039,29.932257911046268,30.298924155218337,29.00827935984621,28.09321636583874,28.719239130279146,29.96866614621327,30.581533777297878,29.545042335612187,30.35022460138883,30.916540974660894,31.469237141116707,35.41943039346215,35.523622752969054,34.406965178367116,33.895962943865094,33.00109797827063,30.706257018708595,34.12408759124087,39.863468484677846,39.37900197572209,40.249273134709625,39.94614783913607,36.70504342316552,37.10506801435417,36.516290358782754,35.93021277119655,35.79320512836304,37.812610022110896,37.501815121186524,39.00920276751486,39.41875287205178,43.782400906627586,44.51931390335864,44.711318478796784,44.721640191375414,45.400040092198665,34.94578296700725,33.8222266332167,34.02520273631609,33.39488650863713,33.689218835804795,33.502862633963396,33.63995733748213,34.27872141604803,34.526915041849975,35.19868930261027,13.771773061450897,16.31406511055864,18.0710196881354,18.969701445460323,15.462803290816945,16.191822735231103,16.02102304252413,38.7157590178263,29.073162596232393,38.420188879747705,37.77459751588257,30.509760973900526,47.305949171424494,38.608657140147365,32.77372519794548,19.128125919223535,25.861688804854886,17.35097328754583,18.13978993560703,17.818345691503417,19.675229555908288,18.80870187312739,17.762415128862884,17.634028553666738,17.30236894283624,16.412048562771886,15.80291544639926,15.527304649961888,15.787595865687893,13.433701504555627,14.519876075250696,14.759851781690688,15.110949447740058,13.25894116116802,12.517928664624257,13.046317478445783,13.599075321213048,11.839267229168186,12.077063573503859,12.335936942505196,11.675084543912135,12.102873101119512,4.350819492268991,4.173877733170301,3.9381900888860772,5.174696738927011,5.429427034041241,5.4158245103252165,5.577048869982434,5.96881608858703,4.209542553683561,4.337356924048277,6.2791753083912045,6.553401870288506,5.411454924950028,6.967507141410104,19.610124092083606,16.858850605889835,16.85288604697777
70,31.518693730656633,30.94035725135482,33.435185521921724,33.207541486080935,31.23357511675158,32.14796953238169,32.573123781910354,31.283167722098085,31.01085985864179,31.419188279207855,31.847251819302517,32.03529491231376,26.55438476882639,27.07450201092273,27.786443660174246,27.875538971097203,27.202231245462013,27.25930310659559,27.51888962769692,27.18490173242723,27.28167476933393,28.146392711232217,30.061477754827756,30.24224476466915,31.163155063657033,32.28976103352518,33.10265987921558,32.966895114626006,31.66949807401001,31.333486388540592,31.69462772257626,32.61118655576303,33.22984812600408,34.53421985722683,28.10432882909248,26.079904163306235,24.415317488340992,25.686414913515414,25.914876695927187,24.629863245841342,24.767175323355634,24.65603662907041,24.906463509854806,25.031838151355963,23.093355370725146,23.38639899199597,22.30849431587002,20.507529424654585,20.42584202852856,20.22851661317695,19.765579812017776,20.91220533518595,20.521087701209293,22.038422432885934,21.694437990976816,21.085005240544163,21.682294990566234,22.938947499319546,23.30075542710889,22.818508861342305,52.335153137723694,52.36586992086577,56.80873674292071,52.152495615581955,47.10749648598565,38.76458181498576,39.15665261406281,55.728254241368056,52.95961881552541,55.1058967074592,63.693360183044994,64.42031633870351,45.388948965750984,53.18496982278098,43.22599014485537,48.168892748773345,45.738294972117174,45.045100746698914,43.495739632711135,44.297123637258665,46.48182335617864,48.858940362036094,52.48497786988821,54.68338215215884,56.42593390119933,52.833802948947664,49.27482472919358,49.254093698225645,47.94246604792623,46.128468464616724,44.622746833406524,46.39976458183078,46.05434807697971,45.42469130106475,44.95407187998687,46.150299709574234,45.06832650818185,44.83979171806101,46.77472506150212,47.1060311295796,49.81983949350446,48.0109160549986,38.96515695242165,36.90552231147541,41.23231400651284,46.659651028768025,49.99723942289898,46.73149587627202,46.0402166406608,48.53971050145449,34.70506775121565,35.33928448399082,40.89395397025086,39.672718986268336,48.09356765577407,51.10530818605714,51.67714199885702,51.14218467935596,56.610576095211286
116,18.43237125323815,17.91188824809149,16.767089189035342,16.373625132262184,15.503365396686329,16.347919914630612,14.862738697568142,14.515133331714653,14.749735059084545,14.651872250250099,14.29878798246955,14.553477409194167,14.246801205778771,14.329135084326529,14.835589170216073,14.896860145296738,14.632445132072686,13.821776595317175,13.466334933659825,13.80383173144605,14.195641002777544,13.715458398221639,13.49101163773087,12.778137632557923,12.965704005306947,12.018887515588458,12.425751902329807,11.894806819444547,13.21797356931154,13.068681798833085,12.67309970064888,13.765348271374412,15.406658546243502,15.821440840468888,16.446772347800554,15.860628944296922,15.416836806731276,15.436941182158757,15.931051806033361,16.41778063491463,17.133186430949515,16.57017865338452,16.367802848466603,16.734494615438688,17.61167894415187,17.818110842631594,17.00094264607413,16.084153426821064,16.02939614329033,16.80032591077635,17.9337701200588,18.189129011574465,17.49592301922171,17.86868655091897,17.898775413043698,18.314147236968267,18.747028315063513,18.9918520933597,18.072504679734237,17.167690333049887,24.613300858221173,25.045528870854287,24.36093261825988,22.631589481813897,22.732281610732187,24.526373809053634,26.578388432251124,17.83712170166253,20.953778657553233,17.75182538050185,18.888152134823518,20.954598765230394,10.099208476494168,14.832727212127184,14.104508376213134,17.986303499508445,16.017069589995906,19.02600572082049,18.122215566218525,18.488451638013707,18.615165130992175,19.226728108945785,20.938541700282684,18.378043565404873,18.24936564728341,17.823173119136126,17.91625016559681,18.717357329297613,18.56856255623102,19.511633951728086,20.247087312206002,20.610189157659523,22.073412327291916,23.19796219290442,23.47138542578223,23.156812393367506,23.781345580766754,24.451490279438833,24.447721447397637,24.04909097049323,24.161318693929736,23.03355946542188,0.8229835181961942,0.4632769356366886,,0.335922472388525,0.2889579977402328,0.3383065822757476,0.3671582376827771,0.2351791175998123,0.3242152275088959,0.2925659632709597,0.2233296767892148,0.2296031415532977,0.1571935715212667,0.1787838145150764,5.2864912786295895,3.446223847618702,6.289561501346833
105,19.27883121198123,20.3783806214047,20.9915255711286,22.421725263677136,21.294888689513726,22.927245912714866,22.10981288222813,21.28791225192647,20.49295323626688,20.185514667125627,20.505861665247124,20.003469765755263,25.21359004027409,24.376462308072192,24.7431656698106,25.166950160465987,25.254289125500854,25.016823698483602,24.078207866363396,23.3355303292081,23.18222835159821,24.168973359507955,24.533249200611998,24.42456278182469,25.28818528703566,26.605180726434558,27.14725632233946,26.970823423188328,27.486805836545756,27.244111079106194,28.376028699478095,28.9650879873253,34.293538241019995,35.78564183319108,35.89384664754802,35.0902647464674,34.036037269295925,35.97164474107095,35.44958626906848,36.325687805131146,36.50710637202434,35.26256475304572,35.14288235564881,34.94940181364257,35.211729295723764,34.63421675898733,36.13135195045993,35.95191173688927,36.53834808571687,35.1372221279503,35.55811928248024,36.53780735082976,36.457646502532,37.49995873137946,39.040187113617,38.35771391093413,36.956008274733534,36.5318526884355,36.56298931942686,36.30325137643723,15.190303221112229,16.2984252031283,22.816602432855596,23.757009719914887,22.687698649979218,20.084383163444286,20.35624281831636,38.87840578864302,31.961445567956506,37.743625094268474,37.2792917878289,34.277562755222334,8.889734619632993,20.94976856119498,9.266480544306576,9.9376381980926,9.54453437336393,11.884428019208267,14.611310094508191,13.686289717158997,16.139971319938113,18.14694387010366,20.711643746490857,22.517016079178468,21.56458860766297,22.04673879826281,20.483631704314522,19.744092552526634,18.073081567203264,17.872119435768248,18.41697640657651,20.73750524362726,18.972033209618406,19.158476562009813,17.361633430510064,17.16913709567234,16.350396706933882,16.608107536055382,15.797186456873447,16.000308821168435,15.903760037832672,16.375200818859447,15.134536762600444,15.032082191196348,18.073700244849288,20.33981803109745,17.680023672344518,18.340935456355986,16.256413585041493,7.308068037405574,3.754446170715318,3.533581395061868,7.729617079822342,7.091136096631838,5.914851979106426,6.813995295822436,13.606427706164792,11.337131732551777,16.832118553364293
80,79.02375022973925,75.59267294179905,77.00633230133832,74.62983533593652,74.14985194681083,72.17265024398448,70.84069547518696,69.23180853666854,68.74180556176537,68.92071039015522,67.96550032984307,68.21282889006599,68.340301309856,68.58997446441568,68.25501537591687,69.45861048018735,68.84758732079985,69.66306038862584,71.26762092957863,70.7358443076477,67.66229059575336,70.66995628719943,70.16012369872578,69.35386324889191,67.76120962118696,62.10139702642665,61.13487364493996,64.60313668430777,66.04575340024512,66.8560978595209,67.81419067676563,66.46438069371358,61.461066385212185,58.44811574518407,59.03436978346422,60.25286684385472,59.709439130557165,59.97662360880584,59.33652795664772,56.87973100310567,57.476194054025406,58.98342305329065,59.43142902361187,57.66909799595387,65.45774539138053,60.09222529951351,58.85216313083083,56.99514714136136,55.956739508103425,55.652288700399566,58.722835800533424,58.16280912310431,57.421582047132006,57.6257257537557,58.10926976090025,60.08242695659382,60.34384343581364,59.58278905748238,58.71861477483051,58.20617725859935,26.873099063576277,31.16069737158646,28.670014735991955,34.89236176055866,49.091540561041725,50.19212397607079,53.449177368161465,66.92510364706595,53.910396796038576,68.91405928630194,66.33472073771875,56.42864934946112,80.0517284267065,68.6768729328498,68.38842080763332,62.994800899678665,66.13681735896928,64.56601819404419,65.00733467938458,64.12613920714061,64.54172930397087,59.916658934197805,56.78945622327882,63.686217629287974,63.12323676458258,62.94775171962852,66.57164595113834,69.72591472974636,68.03674411649679,68.79309455385662,69.00764270203712,67.38136227745626,69.27586571929102,68.55818114640702,68.52635624410735,68.76024285058662,68.38780092773942,68.4761851613098,65.28687948383386,64.49417996263708,63.419695044415015,64.02222766425729,36.44485554441132,42.571217841843,47.43296080395202,42.66679597379025,38.34568273716657,41.148197611033005,49.66374322048892,92.78098462155836,84.47194319220316,83.23819787284583,49.41215142189831,56.55326156702992,50.84067890451279,59.53255173010548,46.527570862661,49.56569749074939,41.20281129656348
65,28.212112254950405,29.724555457013224,30.332312406709335,29.99559439848477,28.951044685343515,28.092435490057685,29.053658349254505,28.123887208879847,27.895879730720942,28.840786119208715,28.734656068337525,28.94738114452499,24.731147908469353,24.697790314260264,24.634936478530886,24.227865591559965,23.14666279311522,24.69345786165849,23.86766042649845,22.759085537794725,21.83754402594307,21.10237412932661,21.531684755283784,21.943692708586198,21.621430739061314,19.57177343008223,20.092707643373696,20.87230441797265,20.70077696933754,19.412475054944586,20.925360194151562,19.480987947716855,13.364557815857106,14.618615881350415,16.59419439685647,15.959136654056643,18.353257486395524,18.310089684459946,17.04313469891036,16.36957964178598,16.020185323638923,15.734543485177014,15.228682381808593,15.145739596051163,13.381257797240394,14.97238543178035,15.250282566070478,15.72551942125397,14.76136688257413,14.49821313217961,14.662132719374247,15.131933076136223,15.713863762098436,14.829585642937213,14.590232572619511,13.609317166662057,14.676182844400588,14.340533933726615,14.247810518052775,15.059228654870502,38.019927789200736,36.842555705622686,43.843286622128076,41.703273077637164,38.02067051213786,46.77708795451599,39.65365437186046,30.305324949225387,34.88240276095117,29.472423256890174,31.118894251127795,32.86985904362413,18.70331962728835,24.911210754193586,26.292428179096774,26.786103744895694,26.50894232651809,23.919774605789513,24.154862663089034,24.19248679529524,24.813477032845704,23.567619257908035,24.441849665081875,22.87269816335239,24.731622760596967,24.066860202187627,25.240441333173457,24.688003979539587,23.440057146672068,22.247565960170476,22.662054250024546,22.90295133144411,22.945200627515653,21.814286425993444,20.839225617146358,23.104752962938313,21.66415914963539,21.62251778697801,22.806392530808317,23.080217699598265,23.476415817134956,25.59187394866182,54.917216805307206,52.25833030795026,42.61228833021905,23.85105126963886,10.389946558816602,11.729840999905225,20.057563650749486,36.28296525611335,32.2263888829729,28.866932552369065,37.31279173640158,35.8995078538623,23.82271676313881,21.029387431335145,32.8479206455426,28.897166270532203,32.90543083820316
60,34.56190348850365,33.27211782042865,31.86478941609533,30.992389982339937,29.985611174585255,30.002688391063554,29.010570377979818,26.94975002762293,27.922826970924778,27.600765896109205,27.665454051539385,28.021849570012126,22.672599629704226,22.614798340864763,23.51334576865934,23.1555925313413,22.534098074644884,21.387625029581013,21.97623598319189,22.930003284828786,21.936709794642617,20.65121907722448,21.223063029895254,20.045189913793813,21.516657656207464,22.879095390334033,23.17985382187795,23.88067791780287,24.189324011843706,23.663715380647695,21.762997197636594,21.90983421037741,12.79366396203376,12.881744186908046,14.223805800232771,14.391650116097232,12.78541176637497,12.559677355578073,12.944164118144984,16.639473544197656,15.22427658376823,15.44775370640059,14.457189121767865,14.755996634406591,13.063588981428877,12.565688395050529,12.353698731693527,12.465043396649618,12.390741018961906,12.476281941363265,12.112747531214143,12.452997543404368,12.343406537163414,12.8184775343686,12.821260030788865,12.8685189456833,12.65118990332835,12.615387200045092,13.640023471511123,14.216559616032395,16.282197908744685,13.408766956582573,11.93410779944882,10.134331252877221,9.340963467503844,10.589661845162922,11.797496831531403,36.795183107556085,26.25434004515953,34.451994849513234,35.4807783125017,36.13771034241455,19.844204089660394,27.856391809218795,25.691739548357823,26.581847383449443,25.890346742516872,28.251231720507214,33.39006493239881,31.265475302945145,20.795556934114053,17.450842290087113,19.962275595912296,18.03254965707052,21.15925495712342,22.49332687079746,22.00612747472325,22.355681327138665,22.263481749647433,20.62137955571184,20.927160324406053,22.18839562844129,21.489259246583245,22.741155321925532,20.83856569293692,20.496106052697037,19.995105259755846,19.816382850167635,20.2132836947968,19.71598984890518,19.62645025791635,20.81568051641576,49.75817787867132,45.67109269195513,48.19720115054312,44.21296774286698,49.891302936441164,49.932691919338005,44.56665489023743,31.242537311182282,32.29830872582431,33.506495810166456,29.026171705074837,29.120749633190748,31.068472435725855,29.177446219936513,20.43975025277565,22.85724695096162,21.508131574071616
108,0.3602847827438221,0.3540557044579246,0.3644858261441546,0.3877682427674708,0.3775234156129399,0.4850089394343027,0.4000038402826448,0.4252554571385141,0.3677150311222498,0.3644675838774566,0.3634502891102563,0.3782329080263218,,0.3843347195814343,0.4250743849397914,0.4612305214613169,0.3946774495087058,0.3970392842130241,0.4248617359986668,0.4294167082602778,0.3962433255126851,0.3983157061955822,0.4277971689372083,0.4358590761075097,0.5352761130477451,0.6843335673679586,0.6059860181769051,0.5854132215885838,0.4671456930715486,0.5879025082987791,0.5914659330231733,0.5955412210716913,,,,,,0.1971532675318717,,0.2321667977734852,0.217151120181998,,,0.2394297984395963,0.2435219146325598,,0.224181598667172,0.2336814230090617,0.2162939952896764,,,,0.2214120420922848,,0.2163352949286474,0.2018420034398379,,,,,,,,,,,,,,,,,0.5607857532869301,0.3101003400275837,0.287054028919367,,0.2758532375955084,,0.3923568157029309,0.3043375837972947,0.3264619891267059,0.2873706143244026,,,0.3195948168313248,,,,,0.2613250662106606,0.3633714245057193,0.5450341013571288,,,,,,0.2099303005800818,,,0.4702562090595012,0.387373949438432,0.2591705540241483,,,1.133068199246659,4.6537629305061925,1.667339591960673,1.2326106563760963,0.4512022832736653,0.504374793810886,0.4569149991824965,0.2413465922705964,0.2704628009782362,0.2186563143480654,0.3627377170939863,21.786284295671795,15.613893514052986,13.320670678278733
90,50.825321713186156,51.46006156718247,54.23824221418272,54.38379943593239,53.74525392594974,53.18388198176838,53.790608588792146,57.27284193764686,56.80038378670354,56.329077159730225,55.452377255383624,57.76360087739568,53.09792991684778,51.95000117111885,50.52978066028497,50.572148606310954,51.33836738216892,64.21502058072537,62.15083748118913,59.95068490813144,59.76589707869946,59.956713389926094,58.84114395234951,58.739180090170976,56.85304828417353,50.41252231227556,50.92862436396311,52.09945365304433,52.88650170979997,55.03556706649802,55.07186816262582,56.55095343178861,48.8361998226355,45.38807406942911,44.18881149133812,43.72633921663259,43.10893308350696,45.56035031229426,47.68094051909057,48.988539842328834,50.68679122576448,50.77392060604514,51.84647308708266,52.815864003115465,51.25874250224851,51.70043692984175,55.28500424541594,55.25828887894314,54.859983198576316,54.45899502370636,56.75404273604279,55.5376813334326,54.817596812528265,53.75116581481276,53.25149936348926,53.80232438862089,53.2113479889027,52.823819172949825,52.16728682999441,51.92083920461957,41.77719396396355,40.36008739166033,48.87576956592586,63.89167916481754,68.66211553408732,73.2405700056507,71.44172860375298,49.39521529040648,56.56040664098416,45.80698100918689,58.05117937408327,59.76448034055954,70.94656914570703,66.28360085642521,79.73885058412291,71.0049636672531,75.53355335986527,68.61215341651848,66.21316318549275,67.29285436995252,61.767533420308936,64.0904309107848,66.42402014722569,69.44608371562656,70.32551377016547,70.7650803104301,70.21680746104614,68.10419079077694,71.22357067157685,66.8459045039243,65.91812203279991,60.62871294862889,60.23214258709328,60.6720408150537,62.34818052817208,64.3453158774256,65.69746393983421,64.88533949679832,66.62901576884491,66.11041815845279,64.51041475010352,63.85988474045893,26.02034691157627,34.401338051847254,28.25269895443627,23.859877570489864,21.47251821743361,22.75695604587053,23.564479310585384,30.91145780453249,34.420484028701466,33.41186593355291,37.98998753296178,37.51002173611587,32.6862022623982,34.43723350395428,58.682919815168496,54.14946257425969,53.7488986492162
