,hp,attack,defense,special-attack,special-defense,speed
55,3.3467688209879882,3.5908414979835994,1.0515484698564657,13.070976525678093,3.2581803766564126,10.31184842502363
57,5.318255568438142,0.0,0.0,0.1140379290232723,0.0,0.0
58,0.7995985714086619,0.144254142593732,0.144254142593732,0.0,0.0,0.3353272578186977
59,8.454076438537172,0.0,0.0,8.320608029931826,0.5133928586456848,0.0
60,22.613079028796495,5.232131280560842,34.66478349456838,22.61101883241669,25.691739548357823,40.02129408205897
61,4.315465079570372,0.0,0.1862659903387562,0.1254296031233654,0.1862659903387562,9.29887814227918
62,0.7141610156579637,0.0,0.0,0.0,0.0,0.0
63,1.9619128936851813,12.565905244566515,0.1724101597843876,19.943993628741705,3.1862754834005065,0.0
65,5.982446722883995,33.081219606633105,13.312302274167298,18.741162110995706,26.292428179096774,24.776042851546087
67,0.3702294082530255,2.161024814392128,0.5042633609626315,0.0,0.0,7.144276293071149
68,2.1984315172881783,0.0,0.7634037487360257,3.338245263416642,0.0801052827676759,0.1724101597843876
70,39.14506428452309,20.281542666969997,20.22357439628335,4.248084539148545,43.225990144855366,9.494516006345673
71,15.755008448488324,0.0,1.1168284178910417,0.0,0.61397891718906,0.7619090964604817
72,0.3591609022125094,0.7794813596999869,0.2450421811743429,0.2926286779470722,3.3905580930606862,0.4514253832217741
73,2.0561971750668033,0.0,12.9431231621079,0.0,0.1724101597843876,0.0
74,12.68588138668452,1.0483975812755888,1.0483975812755888,3.6539804576234776,0.0,1.3265240925491382
75,8.625840262202406,21.27786979464622,38.170510604860866,9.936448327817372,46.89463435318216,7.861386217272754
76,0.5061215773051998,0.4281976789396694,0.0,0.144254142593732,0.144254142593732,0.3434468553155725
77,0.6069500118932578,1.064555984254444,5.3765874031918095,0.5330253182649941,1.3015593599468065,18.13998872816739
78,4.9781615817406815,0.1068474396976816,0.9623944814206307,0.0,0.0,1.8460167483193408
79,8.853714140211714,0.0,1.7611043406654554,0.3702294082530255,2.1514913566346032,5.463802383270181
80,71.4092746405378,11.850653536707481,26.772615519620913,31.413026083096067,68.38842080763334,33.978132159981925
